run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,169,6,154,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_01_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
2,1024,188,3,161,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_02_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
3,1024,193,5,170,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_03_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
4,1024,195,2,172,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_04_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
5,1024,193,3,170,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_05_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
6,1024,217,3,188,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_06_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
7,1024,192,2,172,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_07_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
8,1024,191,6,168,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_08_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
9,1024,195,7,176,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_09_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
10,1024,194,4,166,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/run_10_novel_smiles_condz_high.csv,2230,10.339878406396931,Encoder_Only,condz_high
