run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,461,208,445,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_01_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
2,1024,409,240,398,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_02_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
3,1024,425,219,419,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_03_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
4,1024,398,225,382,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_04_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
5,1024,420,242,404,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_05_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
6,1024,403,230,391,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_06_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
7,1024,409,236,395,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_07_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
8,1024,447,223,426,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_08_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
9,1024,394,241,384,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_09_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
10,1024,409,239,396,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_10_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
11,1024,413,230,396,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_11_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
12,1024,401,226,388,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_12_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
13,1024,407,230,393,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_13_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
14,1024,415,235,401,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_14_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
15,1024,440,226,428,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_15_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
16,1024,438,230,422,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_16_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
17,1024,410,232,400,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_17_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
18,1024,411,258,396,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_18_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
19,1024,397,227,382,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_19_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
20,1024,436,213,430,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_20_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
21,1024,405,254,392,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/run_21_novel_smiles_condz_low.csv,13654,7.425148101782618,Encoder_Only,condz_low
