repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
2,1,1024,shared,1.0,,0.95,1022,192,79,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_01_novel_smiles_condz_low.csv,149,3.3231201238982884
2,2,1024,shared,1.0,,0.95,1018,173,67,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_02_novel_smiles_condz_low.csv,149,3.3231201238982884
2,3,1024,shared,1.0,,0.95,1022,188,75,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_03_novel_smiles_condz_low.csv,149,3.3231201238982884
2,4,1024,shared,1.0,,0.95,1020,193,75,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_04_novel_smiles_condz_low.csv,149,3.3231201238982884
2,5,1024,shared,1.0,,0.95,1022,196,82,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_05_novel_smiles_condz_low.csv,149,3.3231201238982884
2,6,1024,shared,1.0,,0.95,1023,194,80,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_06_novel_smiles_condz_low.csv,149,3.3231201238982884
2,7,1024,shared,1.0,,0.95,1022,186,74,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_07_novel_smiles_condz_low.csv,149,3.3231201238982884
2,8,1024,shared,1.0,,0.95,1022,191,81,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_08_novel_smiles_condz_low.csv,149,3.3231201238982884
2,9,1024,shared,1.0,,0.95,1024,188,71,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_09_novel_smiles_condz_low.csv,149,3.3231201238982884
2,10,1024,shared,1.0,,0.95,1022,190,77,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_10_novel_smiles_condz_low.csv,149,3.3231201238982884
2,11,1024,shared,1.0,,0.95,1023,182,71,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_11_novel_smiles_condz_low.csv,149,3.3231201238982884
2,12,1024,shared,1.0,,0.95,1023,195,78,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/repeat_02/run_12_novel_smiles_condz_low.csv,149,3.3231201238982884
