run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,158,18,145,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_01_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
2,1024,173,10,161,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_02_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
3,1024,174,12,161,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_03_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
4,1024,164,14,153,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_04_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
5,1024,170,22,158,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_05_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
6,1024,165,18,155,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_06_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
7,1024,176,19,164,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_07_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
8,1024,166,17,154,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_08_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
9,1024,181,15,166,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_09_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
10,1024,162,14,151,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/run_10_novel_smiles_condz_high.csv,1128,17.79577405096075,Encoder_Only_PSMILES,condz_high
