repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
3,1,1024,shared,1.0,,0.95,977,18,11,47,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_01_novel_smiles_condz_high.csv,18,16.835420307410388
3,2,1024,shared,1.0,,0.95,984,16,10,40,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_02_novel_smiles_condz_high.csv,18,16.835420307410388
3,3,1024,shared,1.0,,0.95,986,15,9,38,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_03_novel_smiles_condz_high.csv,18,16.835420307410388
3,4,1024,shared,1.0,,0.95,990,15,9,34,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_04_novel_smiles_condz_high.csv,18,16.835420307410388
3,5,1024,shared,1.0,,0.95,983,16,10,41,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_05_novel_smiles_condz_high.csv,18,16.835420307410388
3,6,1024,shared,1.0,,0.95,989,17,10,35,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_06_novel_smiles_condz_high.csv,18,16.835420307410388
3,7,1024,shared,1.0,,0.95,985,17,10,39,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_07_novel_smiles_condz_high.csv,18,16.835420307410388
3,8,1024,shared,1.0,,0.95,979,19,12,45,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_08_novel_smiles_condz_high.csv,18,16.835420307410388
3,9,1024,shared,1.0,,0.95,992,17,11,32,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_09_novel_smiles_condz_high.csv,18,16.835420307410388
3,10,1024,shared,1.0,,0.95,986,16,10,38,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/repeat_03/run_10_novel_smiles_condz_high.csv,18,16.835420307410388
