run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,185,801,132,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_01_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
2,1024,188,808,131,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_02_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
3,1024,188,810,129,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_03_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
4,1024,180,824,136,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_04_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
5,1024,197,801,142,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_05_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
6,1024,171,825,129,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_06_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
7,1024,171,824,117,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_07_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
8,1024,195,808,142,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_08_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
9,1024,181,809,124,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_09_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
10,1024,208,793,142,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_10_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
11,1024,178,826,117,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_11_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
12,1024,196,800,141,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_12_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
13,1024,196,798,138,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_13_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
14,1024,182,821,128,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_14_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
15,1024,174,825,119,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_15_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
16,1024,184,815,133,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_16_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
17,1024,174,821,126,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_17_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
18,1024,183,813,131,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_18_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
19,1024,175,829,117,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/run_19_novel_smiles_condz_low.csv,3511,2.409808414219974,Encoder_Only_PSMILES,condz_low
