repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
5,1,1024,shared,1.0,,0.95,1024,99,33,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_01_novel_smiles_condz_low.csv,49,7.769918243571652
5,2,1024,shared,1.0,,0.95,1024,94,33,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_02_novel_smiles_condz_low.csv,49,7.769918243571652
5,3,1024,shared,1.0,,0.95,1024,99,33,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_03_novel_smiles_condz_low.csv,49,7.769918243571652
5,4,1024,shared,1.0,,0.95,1024,96,31,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_04_novel_smiles_condz_low.csv,49,7.769918243571652
5,5,1024,shared,1.0,,0.95,1024,99,36,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_05_novel_smiles_condz_low.csv,49,7.769918243571652
5,6,1024,shared,1.0,,0.95,1024,108,38,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_06_novel_smiles_condz_low.csv,49,7.769918243571652
5,7,1024,shared,1.0,,0.95,1024,99,30,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_07_novel_smiles_condz_low.csv,49,7.769918243571652
5,8,1024,shared,1.0,,0.95,1024,103,38,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_08_novel_smiles_condz_low.csv,49,7.769918243571652
5,9,1024,shared,1.0,,0.95,1024,104,37,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_09_novel_smiles_condz_low.csv,49,7.769918243571652
5,10,1024,shared,1.0,,0.95,1024,99,36,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_10_novel_smiles_condz_low.csv,49,7.769918243571652
5,11,1024,shared,1.0,,0.95,1024,99,34,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_11_novel_smiles_condz_low.csv,49,7.769918243571652
5,12,1024,shared,1.0,,0.95,1024,98,32,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_12_novel_smiles_condz_low.csv,49,7.769918243571652
5,13,1024,shared,1.0,,0.95,1024,97,34,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_13_novel_smiles_condz_low.csv,49,7.769918243571652
5,14,1024,shared,1.0,,0.95,1024,104,39,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_14_novel_smiles_condz_low.csv,49,7.769918243571652
5,15,1024,shared,1.0,,0.95,1024,99,34,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_15_novel_smiles_condz_low.csv,49,7.769918243571652
5,16,1024,shared,1.0,,0.95,1024,101,33,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_16_novel_smiles_condz_low.csv,49,7.769918243571652
5,17,1024,shared,1.0,,0.95,1024,101,39,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/repeat_05/run_17_novel_smiles_condz_low.csv,49,7.769918243571652
