repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
2,1,1024,shared,1.0,,0.95,1024,11,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_01_novel_smiles_condz_high.csv,8,25.068847311629696
2,2,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_02_novel_smiles_condz_high.csv,8,25.068847311629696
2,3,1024,shared,1.0,,0.95,1024,13,5,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_03_novel_smiles_condz_high.csv,8,25.068847311629696
2,4,1024,shared,1.0,,0.95,1024,9,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_04_novel_smiles_condz_high.csv,8,25.068847311629696
2,5,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_05_novel_smiles_condz_high.csv,8,25.068847311629696
2,6,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_06_novel_smiles_condz_high.csv,8,25.068847311629696
2,7,1024,shared,1.0,,0.95,1024,11,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_07_novel_smiles_condz_high.csv,8,25.068847311629696
2,8,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_08_novel_smiles_condz_high.csv,8,25.068847311629696
2,9,1024,shared,1.0,,0.95,1024,10,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_09_novel_smiles_condz_high.csv,8,25.068847311629696
2,10,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_10_novel_smiles_condz_high.csv,8,25.068847311629696
2,11,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_11_novel_smiles_condz_high.csv,8,25.068847311629696
2,12,1024,shared,1.0,,0.95,1024,13,5,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_12_novel_smiles_condz_high.csv,8,25.068847311629696
2,13,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_13_novel_smiles_condz_high.csv,8,25.068847311629696
2,14,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_14_novel_smiles_condz_high.csv,8,25.068847311629696
2,15,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_15_novel_smiles_condz_high.csv,8,25.068847311629696
2,16,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_16_novel_smiles_condz_high.csv,8,25.068847311629696
2,17,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_17_novel_smiles_condz_high.csv,8,25.068847311629696
2,18,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_18_novel_smiles_condz_high.csv,8,25.068847311629696
2,19,1024,shared,1.0,,0.95,1024,9,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_19_novel_smiles_condz_high.csv,8,25.068847311629696
2,20,1024,shared,1.0,,0.95,1024,9,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_20_novel_smiles_condz_high.csv,8,25.068847311629696
2,21,1024,shared,1.0,,0.95,1024,13,5,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_21_novel_smiles_condz_high.csv,8,25.068847311629696
2,22,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_22_novel_smiles_condz_high.csv,8,25.068847311629696
2,23,1024,shared,1.0,,0.95,1024,10,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_23_novel_smiles_condz_high.csv,8,25.068847311629696
2,24,1024,shared,1.0,,0.95,1024,9,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_24_novel_smiles_condz_high.csv,8,25.068847311629696
2,25,1024,shared,1.0,,0.95,1024,11,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_25_novel_smiles_condz_high.csv,8,25.068847311629696
2,26,1024,shared,1.0,,0.95,1024,10,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_26_novel_smiles_condz_high.csv,8,25.068847311629696
2,27,1024,shared,1.0,,0.95,1024,10,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_27_novel_smiles_condz_high.csv,8,25.068847311629696
2,28,1024,shared,1.0,,0.95,1024,10,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_28_novel_smiles_condz_high.csv,8,25.068847311629696
2,29,1024,shared,1.0,,0.95,1024,12,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_29_novel_smiles_condz_high.csv,8,25.068847311629696
2,30,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_30_novel_smiles_condz_high.csv,8,25.068847311629696
2,31,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_31_novel_smiles_condz_high.csv,8,25.068847311629696
2,32,1024,shared,1.0,,0.95,1024,11,4,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/repeat_02/run_32_novel_smiles_condz_high.csv,8,25.068847311629696
