run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,974,1,663,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_01_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
2,1024,962,1,666,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_02_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
3,1024,976,2,699,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_03_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
4,1024,968,7,668,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_04_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
5,1024,973,5,678,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_05_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
6,1024,977,1,707,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_06_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
7,1024,967,4,679,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_07_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
8,1024,974,3,693,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_08_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
9,1024,966,1,675,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_09_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
10,1024,967,3,679,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_10_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
11,1024,976,1,666,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_11_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
12,1024,980,2,683,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_12_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
13,1024,962,3,664,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/run_13_novel_smiles_condz_low.csv,21085,0.6532501965818724,LSTM_CVAE,condz_low
