repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
1,1,1024,shared,1.0,,0.95,1019,959,635,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_01_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,2,1024,shared,1.0,,0.95,1023,963,677,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_02_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,3,1024,shared,1.0,,0.95,1021,972,658,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_03_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,4,1024,shared,1.0,,0.95,1024,968,695,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_04_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,5,1024,shared,1.0,,0.95,1022,971,662,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_05_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,6,1024,shared,1.0,,0.95,1021,963,693,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_06_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,7,1024,shared,1.0,,0.95,1022,971,681,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_07_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,8,1024,shared,1.0,,0.95,1023,967,671,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_08_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,9,1024,shared,1.0,,0.95,1022,959,672,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_09_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,10,1024,shared,1.0,,0.95,1022,967,650,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_10_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,11,1024,shared,1.0,,0.95,1021,965,666,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_11_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,12,1024,shared,1.0,,0.95,1022,980,652,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_12_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,13,1024,shared,1.0,,0.95,1023,972,669,1,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_13_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,14,1024,shared,1.0,,0.95,1022,967,666,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_14_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,15,1024,shared,1.0,,0.95,1022,969,640,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_15_novel_smiles_condz_low.csv,19950,0.6725594760773106
1,16,1024,shared,1.0,,0.95,1024,964,675,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/repeat_01/run_16_novel_smiles_condz_low.csv,19950,0.6725594760773106
