run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,18,5,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_01_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
2,1024,16,3,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_02_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
3,1024,15,5,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_03_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
4,1024,16,4,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_04_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
5,1024,15,8,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_05_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
6,1024,14,3,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_06_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
7,1024,11,3,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_07_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
8,1024,17,10,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_08_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
9,1024,13,10,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_09_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
10,1024,12,4,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_10_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
11,1024,15,4,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_11_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
12,1024,14,11,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_12_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
13,1024,21,7,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_13_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
14,1024,16,6,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_14_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
15,1024,19,4,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_15_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
16,1024,17,7,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_16_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
17,1024,16,11,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_17_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
18,1024,17,2,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_18_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
19,1024,13,5,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_19_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
20,1024,14,7,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_20_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
21,1024,15,5,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_21_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
22,1024,17,8,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_22_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
23,1024,14,7,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_23_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
24,1024,14,2,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_24_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
25,1024,19,7,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_25_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
26,1024,16,5,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_26_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
27,1024,18,4,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_27_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
28,1024,15,6,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_28_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
29,1024,15,9,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_29_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
30,1024,18,3,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_30_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
31,1024,17,8,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_31_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
32,1024,13,3,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_32_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
33,1024,19,5,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_33_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
34,1024,14,6,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/run_34_novel_smiles_condz_high.csv,42,20.701236907956527,LSTM_CVAE_PSMILES,condz_high
