repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
5,1,1024,shared,1.0,,0.95,1024,8,1,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_01_novel_smiles_condz_high.csv,11,23.503068728764113
5,2,1024,shared,1.0,,0.95,1024,9,1,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_02_novel_smiles_condz_high.csv,11,23.503068728764113
5,3,1024,shared,1.0,,0.95,1024,7,1,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_03_novel_smiles_condz_high.csv,11,23.503068728764113
5,4,1024,shared,1.0,,0.95,1024,10,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_04_novel_smiles_condz_high.csv,11,23.503068728764113
5,5,1024,shared,1.0,,0.95,1024,9,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_05_novel_smiles_condz_high.csv,11,23.503068728764113
5,6,1024,shared,1.0,,0.95,1024,11,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_06_novel_smiles_condz_high.csv,11,23.503068728764113
5,7,1024,shared,1.0,,0.95,1024,9,2,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_07_novel_smiles_condz_high.csv,11,23.503068728764113
5,8,1024,shared,1.0,,0.95,1024,9,1,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_08_novel_smiles_condz_high.csv,11,23.503068728764113
5,9,1024,shared,1.0,,0.95,1024,11,3,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_09_novel_smiles_condz_high.csv,11,23.503068728764113
5,10,1024,shared,1.0,,0.95,1024,8,1,0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/repeat_05/run_10_novel_smiles_condz_high.csv,11,23.503068728764113
