run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,966,8,669,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_01_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
2,1024,964,5,645,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_02_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
3,1024,961,13,649,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_03_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
4,1024,963,7,683,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_04_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
5,1024,964,8,671,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_05_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
6,1024,955,8,649,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_06_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
7,1024,958,9,627,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_07_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
8,1024,957,13,660,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_08_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
9,1024,952,4,639,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_09_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
10,1024,956,7,648,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/run_10_novel_smiles_condz_low.csv,19244,0.7111232697201046,LSTM_CVAE_PSMILES,condz_low
