repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
3,1,1024,shared,1.0,,0.95,1018,942,616,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_01_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,2,1024,shared,1.0,,0.95,1021,950,624,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_02_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,3,1024,shared,1.0,,0.95,1015,943,626,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_03_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,4,1024,shared,1.0,,0.95,1017,957,630,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_04_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,5,1024,shared,1.0,,0.95,1015,959,641,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_05_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,6,1024,shared,1.0,,0.95,1021,975,629,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_06_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,7,1024,shared,1.0,,0.95,1020,962,636,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_07_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,8,1024,shared,1.0,,0.95,1018,944,629,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_08_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,9,1024,shared,1.0,,0.95,1020,952,636,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_09_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,10,1024,shared,1.0,,0.95,1018,952,656,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_10_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,11,1024,shared,1.0,,0.95,1022,963,633,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_11_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,12,1024,shared,1.0,,0.95,1017,956,636,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_12_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,13,1024,shared,1.0,,0.95,1020,962,616,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_13_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,14,1024,shared,1.0,,0.95,1018,937,632,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_14_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,15,1024,shared,1.0,,0.95,1017,973,644,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_15_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,16,1024,shared,1.0,,0.95,1016,961,629,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_16_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,17,1024,shared,1.0,,0.95,1018,954,618,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_17_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,18,1024,shared,1.0,,0.95,1018,938,634,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_18_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,19,1024,shared,1.0,,0.95,1020,954,654,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_19_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,20,1024,shared,1.0,,0.95,1020,952,621,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_20_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,21,1024,shared,1.0,,0.95,1020,958,626,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_21_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,22,1024,shared,1.0,,0.95,1018,962,649,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_22_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,23,1024,shared,1.0,,0.95,1019,964,648,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_23_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,24,1024,shared,1.0,,0.95,1020,959,630,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_24_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,25,1024,shared,1.0,,0.95,1015,951,637,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_25_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,26,1024,shared,1.0,,0.95,1018,956,616,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_26_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,27,1024,shared,1.0,,0.95,1020,961,627,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_27_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,28,1024,shared,1.0,,0.95,1021,967,644,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_28_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,29,1024,shared,1.0,,0.95,1018,958,630,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_29_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,30,1024,shared,1.0,,0.95,1015,948,620,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_30_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,31,1024,shared,1.0,,0.95,1019,948,636,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_31_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,32,1024,shared,1.0,,0.95,1022,967,649,2,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_32_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,33,1024,shared,1.0,,0.95,1018,972,663,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_33_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,34,1024,shared,1.0,,0.95,1020,953,648,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_34_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,35,1024,shared,1.0,,0.95,1020,948,624,4,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_35_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,36,1024,shared,1.0,,0.95,1019,951,647,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_36_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,37,1024,shared,1.0,,0.95,1019,958,626,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_37_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,38,1024,shared,1.0,,0.95,1019,946,629,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_38_novel_smiles_condz_low.csv,18106,0.7236270374910845
3,39,1024,shared,1.0,,0.95,1019,959,638,5,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/repeat_03/run_39_novel_smiles_condz_low.csv,18106,0.7236270374910845
