run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,188,11,183,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_01_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
2,1024,185,13,180,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_02_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
3,1024,199,12,194,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_03_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
4,1024,198,10,192,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_04_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
5,1024,199,14,194,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_05_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
6,1024,180,11,174,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_06_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
7,1024,211,12,206,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_07_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
8,1024,181,10,175,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_08_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
9,1024,193,11,189,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_09_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
10,1024,199,14,193,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/run_10_novel_smiles_condz_high.csv,2126,20.441049893856412,TransCVAE,condz_high
