repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
1,1,1024,shared,1.0,,0.95,1015,539,530,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_01_novel_smiles_condz_high.csv,8811,16.461968990784698
1,2,1024,shared,1.0,,0.95,1007,520,511,17,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_02_novel_smiles_condz_high.csv,8811,16.461968990784698
1,3,1024,shared,1.0,,0.95,1015,513,505,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_03_novel_smiles_condz_high.csv,8811,16.461968990784698
1,4,1024,shared,1.0,,0.95,1021,540,529,3,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_04_novel_smiles_condz_high.csv,8811,16.461968990784698
1,5,1024,shared,1.0,,0.95,1013,509,496,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_05_novel_smiles_condz_high.csv,8811,16.461968990784698
1,6,1024,shared,1.0,,0.95,1014,520,512,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_06_novel_smiles_condz_high.csv,8811,16.461968990784698
1,7,1024,shared,1.0,,0.95,1008,510,499,16,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_07_novel_smiles_condz_high.csv,8811,16.461968990784698
1,8,1024,shared,1.0,,0.95,1017,545,535,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_08_novel_smiles_condz_high.csv,8811,16.461968990784698
1,9,1024,shared,1.0,,0.95,1014,514,504,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_09_novel_smiles_condz_high.csv,8811,16.461968990784698
1,10,1024,shared,1.0,,0.95,1017,511,501,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/repeat_01/run_10_novel_smiles_condz_high.csv,8811,16.461968990784698
