run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,1007,13,997,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_01_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
2,1024,1002,19,991,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_02_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
3,1024,1007,15,1001,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_03_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
4,1024,997,22,987,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_04_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
5,1024,996,21,985,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_05_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
6,1024,1006,15,997,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_06_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
7,1024,997,22,985,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_07_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
8,1024,1009,10,998,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_08_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
9,1024,997,21,985,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_09_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
10,1024,998,20,992,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_10_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
11,1024,1012,10,1005,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_11_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
12,1024,1002,16,993,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_12_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
13,1024,990,28,978,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_13_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
14,1024,996,21,988,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_14_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
15,1024,1002,14,997,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_15_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
16,1024,1000,17,991,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_16_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
17,1024,1002,18,995,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_17_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
18,1024,1006,11,1000,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_18_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
19,1024,1010,7,1003,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_19_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
20,1024,998,18,992,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_20_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
21,1024,1003,17,994,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_21_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
22,1024,1000,22,994,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_22_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
23,1024,1004,17,997,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_23_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
24,1024,997,21,986,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_24_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
25,1024,997,18,986,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_25_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
26,1024,999,18,989,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_26_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
27,1024,1001,22,984,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_27_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
28,1024,1010,13,1003,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/run_28_novel_smiles_condz_low.csv,44999,2.2637716953860227,TransCVAE,condz_low
