repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
4,1,1024,shared,1.0,,0.95,1014,1002,992,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_01_novel_smiles_condz_low.csv,41926,2.424507431953817
4,2,1024,shared,1.0,,0.95,1017,1003,992,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_02_novel_smiles_condz_low.csv,41926,2.424507431953817
4,3,1024,shared,1.0,,0.95,1008,997,990,16,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_03_novel_smiles_condz_low.csv,41926,2.424507431953817
4,4,1024,shared,1.0,,0.95,1012,1008,996,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_04_novel_smiles_condz_low.csv,41926,2.424507431953817
4,5,1024,shared,1.0,,0.95,1012,1005,993,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_05_novel_smiles_condz_low.csv,41926,2.424507431953817
4,6,1024,shared,1.0,,0.95,1010,1004,993,14,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_06_novel_smiles_condz_low.csv,41926,2.424507431953817
4,7,1024,shared,1.0,,0.95,1009,1003,994,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_07_novel_smiles_condz_low.csv,41926,2.424507431953817
4,8,1024,shared,1.0,,0.95,1015,1001,989,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_08_novel_smiles_condz_low.csv,41926,2.424507431953817
4,9,1024,shared,1.0,,0.95,1007,996,988,17,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_09_novel_smiles_condz_low.csv,41926,2.424507431953817
4,10,1024,shared,1.0,,0.95,1014,1006,993,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_10_novel_smiles_condz_low.csv,41926,2.424507431953817
4,11,1024,shared,1.0,,0.95,1009,993,981,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_11_novel_smiles_condz_low.csv,41926,2.424507431953817
4,12,1024,shared,1.0,,0.95,1014,997,980,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_12_novel_smiles_condz_low.csv,41926,2.424507431953817
4,13,1024,shared,1.0,,0.95,1013,1002,991,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_13_novel_smiles_condz_low.csv,41926,2.424507431953817
4,14,1024,shared,1.0,,0.95,1018,1008,993,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_14_novel_smiles_condz_low.csv,41926,2.424507431953817
4,15,1024,shared,1.0,,0.95,1009,1003,987,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_15_novel_smiles_condz_low.csv,41926,2.424507431953817
4,16,1024,shared,1.0,,0.95,1015,1010,1000,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_16_novel_smiles_condz_low.csv,41926,2.424507431953817
4,17,1024,shared,1.0,,0.95,1018,1008,996,6,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_17_novel_smiles_condz_low.csv,41926,2.424507431953817
4,18,1024,shared,1.0,,0.95,1001,993,975,23,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_18_novel_smiles_condz_low.csv,41926,2.424507431953817
4,19,1024,shared,1.0,,0.95,1012,1003,994,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_19_novel_smiles_condz_low.csv,41926,2.424507431953817
4,20,1024,shared,1.0,,0.95,1015,1006,995,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_20_novel_smiles_condz_low.csv,41926,2.424507431953817
4,21,1024,shared,1.0,,0.95,1013,1006,993,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_21_novel_smiles_condz_low.csv,41926,2.424507431953817
4,22,1024,shared,1.0,,0.95,1011,994,983,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_22_novel_smiles_condz_low.csv,41926,2.424507431953817
4,23,1024,shared,1.0,,0.95,1017,1007,994,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_23_novel_smiles_condz_low.csv,41926,2.424507431953817
4,24,1024,shared,1.0,,0.95,1013,998,984,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_24_novel_smiles_condz_low.csv,41926,2.424507431953817
4,25,1024,shared,1.0,,0.95,1014,1005,995,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_25_novel_smiles_condz_low.csv,41926,2.424507431953817
4,26,1024,shared,1.0,,0.95,1008,999,991,16,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_26_novel_smiles_condz_low.csv,41926,2.424507431953817
4,27,1024,shared,1.0,,0.95,1016,1009,992,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_27_novel_smiles_condz_low.csv,41926,2.424507431953817
4,28,1024,shared,1.0,,0.95,1011,1002,990,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_28_novel_smiles_condz_low.csv,41926,2.424507431953817
4,29,1024,shared,1.0,,0.95,1015,1007,998,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_29_novel_smiles_condz_low.csv,41926,2.424507431953817
4,30,1024,shared,1.0,,0.95,1008,999,985,16,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_30_novel_smiles_condz_low.csv,41926,2.424507431953817
4,31,1024,shared,1.0,,0.95,1015,1003,992,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_31_novel_smiles_condz_low.csv,41926,2.424507431953817
4,32,1024,shared,1.0,,0.95,1011,1001,994,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_32_novel_smiles_condz_low.csv,41926,2.424507431953817
4,33,1024,shared,1.0,,0.95,1003,995,986,21,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_33_novel_smiles_condz_low.csv,41926,2.424507431953817
4,34,1024,shared,1.0,,0.95,1015,1005,994,9,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_34_novel_smiles_condz_low.csv,41926,2.424507431953817
4,35,1024,shared,1.0,,0.95,1011,997,983,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_35_novel_smiles_condz_low.csv,41926,2.424507431953817
4,36,1024,shared,1.0,,0.95,1012,1004,993,12,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_36_novel_smiles_condz_low.csv,41926,2.424507431953817
4,37,1024,shared,1.0,,0.95,1011,1003,994,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_37_novel_smiles_condz_low.csv,41926,2.424507431953817
4,38,1024,shared,1.0,,0.95,1009,1002,990,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_38_novel_smiles_condz_low.csv,41926,2.424507431953817
4,39,1024,shared,1.0,,0.95,1013,1003,986,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_39_novel_smiles_condz_low.csv,41926,2.424507431953817
4,40,1024,shared,1.0,,0.95,1013,1002,986,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_40_novel_smiles_condz_low.csv,41926,2.424507431953817
4,41,1024,shared,1.0,,0.95,1010,995,984,14,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_41_novel_smiles_condz_low.csv,41926,2.424507431953817
4,42,1024,shared,1.0,,0.95,1006,999,985,18,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_42_novel_smiles_condz_low.csv,41926,2.424507431953817
4,43,1024,shared,1.0,,0.95,1011,1004,992,13,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_43_novel_smiles_condz_low.csv,41926,2.424507431953817
4,44,1024,shared,1.0,,0.95,1016,1004,990,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_44_novel_smiles_condz_low.csv,41926,2.424507431953817
4,45,1024,shared,1.0,,0.95,1009,994,977,15,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_45_novel_smiles_condz_low.csv,41926,2.424507431953817
4,46,1024,shared,1.0,,0.95,1016,1008,993,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_46_novel_smiles_condz_low.csv,41926,2.424507431953817
4,47,1024,shared,1.0,,0.95,1016,1007,995,8,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_47_novel_smiles_condz_low.csv,41926,2.424507431953817
4,48,1024,shared,1.0,,0.95,1017,1002,992,7,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_48_novel_smiles_condz_low.csv,41926,2.424507431953817
4,49,1024,shared,1.0,,0.95,1014,1002,992,10,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_49_novel_smiles_condz_low.csv,41926,2.424507431953817
4,50,1024,shared,1.0,,0.95,1013,998,984,11,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/repeat_04/run_50_novel_smiles_condz_low.csv,41926,2.424507431953817
