run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,230,533,226,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_01_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
2,1024,223,525,219,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_02_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
3,1024,203,551,198,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_03_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
4,1024,218,517,212,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_04_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
5,1024,197,549,192,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_05_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
6,1024,211,535,206,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_06_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
7,1024,214,505,210,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_07_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
8,1024,196,538,192,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_08_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
9,1024,189,538,184,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_09_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
10,1024,202,525,197,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_10_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
11,1024,201,544,196,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_11_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
12,1024,202,540,198,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_12_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
13,1024,220,527,215,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_13_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
14,1024,217,530,212,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_14_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
15,1024,199,568,195,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_15_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
16,1024,205,522,200,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_16_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
17,1024,200,557,195,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_17_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
18,1024,202,537,197,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_18_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
19,1024,198,548,193,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_19_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
20,1024,206,513,201,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_20_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
21,1024,194,545,188,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/run_21_novel_smiles_condz_high.csv,3211,24.85411598848631,TransCVAE_PSMILES,condz_high
