repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
3,1,1024,shared,1.0,,0.95,603,515,511,421,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_01_novel_smiles_condz_high.csv,15708,17.10202836626924
3,2,1024,shared,1.0,,0.95,600,526,524,424,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_02_novel_smiles_condz_high.csv,15708,17.10202836626924
3,3,1024,shared,1.0,,0.95,596,517,515,428,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_03_novel_smiles_condz_high.csv,15708,17.10202836626924
3,4,1024,shared,1.0,,0.95,598,530,529,426,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_04_novel_smiles_condz_high.csv,15708,17.10202836626924
3,5,1024,shared,1.0,,0.95,604,531,530,420,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_05_novel_smiles_condz_high.csv,15708,17.10202836626924
3,6,1024,shared,1.0,,0.95,588,508,506,436,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_06_novel_smiles_condz_high.csv,15708,17.10202836626924
3,7,1024,shared,1.0,,0.95,575,517,515,449,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_07_novel_smiles_condz_high.csv,15708,17.10202836626924
3,8,1024,shared,1.0,,0.95,596,509,507,428,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_08_novel_smiles_condz_high.csv,15708,17.10202836626924
3,9,1024,shared,1.0,,0.95,612,535,532,412,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_09_novel_smiles_condz_high.csv,15708,17.10202836626924
3,10,1024,shared,1.0,,0.95,596,533,530,428,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/repeat_03/run_10_novel_smiles_condz_high.csv,15708,17.10202836626924
