run,batch_size,valid_unique,invalid_or_empty,novel_unique,output_path,all_novel_unique,fcd_all_novel_vs_original,model_name,cond_criterion
1,1024,464,559,462,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_01_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
2,1024,454,569,452,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_02_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
3,1024,486,538,485,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_03_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
4,1024,445,577,443,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_04_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
5,1024,463,561,462,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_05_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
6,1024,515,509,513,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_06_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
7,1024,471,553,470,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_07_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
8,1024,462,561,461,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_08_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
9,1024,503,519,502,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_09_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
10,1024,487,536,487,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_10_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
11,1024,470,553,468,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_11_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
12,1024,475,549,475,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_12_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
13,1024,489,535,489,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_13_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
14,1024,465,555,464,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_14_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
15,1024,483,540,482,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_15_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
16,1024,454,570,454,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_16_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
17,1024,436,588,436,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_17_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
18,1024,476,547,476,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_18_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
19,1024,479,543,476,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_19_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
20,1024,482,542,481,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_20_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
21,1024,432,592,430,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_21_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
22,1024,476,548,475,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_22_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
23,1024,499,525,498,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_23_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
24,1024,457,566,455,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_24_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
25,1024,476,548,474,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_25_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
26,1024,450,574,449,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_26_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
27,1024,448,575,446,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_27_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
28,1024,484,539,484,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_28_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
29,1024,446,577,444,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_29_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
30,1024,477,546,477,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_30_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
31,1024,493,529,491,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_31_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
32,1024,486,537,486,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_32_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
33,1024,485,539,485,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_33_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
34,1024,467,557,467,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_34_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
35,1024,494,530,493,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_35_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
36,1024,481,543,481,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_36_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
37,1024,477,545,476,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_37_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
38,1024,474,550,473,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_38_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
39,1024,480,544,479,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_39_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
40,1024,485,538,485,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_40_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
41,1024,491,533,490,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_41_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
42,1024,478,545,476,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_42_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
43,1024,502,522,501,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_43_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
44,1024,491,533,487,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_44_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
45,1024,478,544,474,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_45_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
46,1024,511,512,510,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_46_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
47,1024,494,529,492,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_47_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
48,1024,492,532,490,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_48_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
49,1024,492,529,492,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_49_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
50,1024,481,543,481,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/run_50_novel_smiles_condz_low.csv,22861,3.1324975770121775,TransCVAE_PSMILES,condz_low
