repeat,run,batch_size,decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,valid,valid_unique,valid_unique_novel,invalid_or_empty,output_path,all_novel_unique,fcd_all_novel_vs_original
5,1,1024,shared,1.0,,0.95,493,491,491,531,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_01_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,2,1024,shared,1.0,,0.95,510,508,508,514,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_02_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,3,1024,shared,1.0,,0.95,522,521,520,502,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_03_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,4,1024,shared,1.0,,0.95,518,517,515,506,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_04_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,5,1024,shared,1.0,,0.95,521,521,520,503,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_05_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,6,1024,shared,1.0,,0.95,503,500,497,521,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_06_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,7,1024,shared,1.0,,0.95,505,503,500,519,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_07_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,8,1024,shared,1.0,,0.95,537,537,533,487,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_08_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,9,1024,shared,1.0,,0.95,521,521,519,503,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_09_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,10,1024,shared,1.0,,0.95,517,516,514,507,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_10_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,11,1024,shared,1.0,,0.95,507,505,505,517,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_11_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,12,1024,shared,1.0,,0.95,516,515,511,508,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_12_novel_smiles_condz_low.csv,24350,3.1761929463020664
5,13,1024,shared,1.0,,0.95,538,535,534,486,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/repeat_05/run_13_novel_smiles_condz_low.csv,24350,3.1761929463020664
