model_variant,ckpt_variant,condition,decode_mode,run,batch_size,valid_count,valid_unique_count,valid_unique_novel_count,invalid_count,degenerate_count
Encoder_Only,pi1m_finetuned,LOW,raw,1,256,256,114,40,0,0
Encoder_Only,pi1m_finetuned,LOW,raw,2,256,256,114,43,0,0
Encoder_Only,pi1m_finetuned,LOW,raw,3,256,256,112,37,0,0
Encoder_Only,pi1m_finetuned,LOW,constrained,1,256,256,117,41,0,0
Encoder_Only,pi1m_finetuned,LOW,constrained,2,256,256,110,38,0,0
Encoder_Only,pi1m_finetuned,LOW,constrained,3,256,256,124,44,0,0
Encoder_Only,pi1m_finetuned,HIGH,raw,1,256,256,53,11,0,0
Encoder_Only,pi1m_finetuned,HIGH,raw,2,256,256,45,9,0,0
Encoder_Only,pi1m_finetuned,HIGH,raw,3,256,256,48,7,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,raw,1,256,256,101,37,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,raw,2,256,256,122,42,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,raw,3,256,256,119,42,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,constrained,1,256,256,102,33,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,constrained,2,256,256,106,37,0,0
Encoder_Only,pi1m_finetuned_bundle,LOW,constrained,3,256,256,112,39,0,0
Encoder_Only,pi1m_finetuned_bundle,HIGH,raw,1,256,256,51,8,0,0
Encoder_Only,pi1m_finetuned_bundle,HIGH,raw,2,256,256,46,11,0,0
Encoder_Only,pi1m_finetuned_bundle,HIGH,raw,3,256,256,55,12,0,0
Encoder_Only_PSMILES,baseline,LOW,raw,1,256,256,20,2,0,0
Encoder_Only_PSMILES,baseline,LOW,raw,2,256,256,20,2,0,0
Encoder_Only_PSMILES,baseline,LOW,raw,3,256,256,18,1,0,0
Encoder_Only_PSMILES,baseline,LOW,constrained,1,256,256,17,0,0,0
Encoder_Only_PSMILES,baseline,LOW,constrained,2,256,256,19,1,0,0
Encoder_Only_PSMILES,baseline,LOW,constrained,3,256,256,18,0,0,0
Encoder_Only_PSMILES,baseline,HIGH,raw,1,256,256,5,1,0,0
Encoder_Only_PSMILES,baseline,HIGH,raw,2,256,256,5,1,0,0
Encoder_Only_PSMILES,baseline,HIGH,raw,3,256,256,5,1,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,raw,1,256,256,73,23,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,raw,2,256,256,72,19,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,raw,3,256,256,72,20,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,constrained,1,256,256,75,24,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,constrained,2,256,256,65,17,0,0
Encoder_Only_PSMILES,pi1m_finetuned,LOW,constrained,3,256,256,80,25,0,0
Encoder_Only_PSMILES,pi1m_finetuned,HIGH,raw,1,256,256,13,7,0,0
Encoder_Only_PSMILES,pi1m_finetuned,HIGH,raw,2,256,256,13,8,0,0
Encoder_Only_PSMILES,pi1m_finetuned,HIGH,raw,3,256,256,14,8,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,raw,1,256,256,71,20,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,raw,2,256,256,73,18,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,raw,3,256,256,74,24,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,constrained,1,256,256,72,19,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,constrained,2,256,256,67,21,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,LOW,constrained,3,256,256,67,20,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,HIGH,raw,1,256,256,14,8,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,HIGH,raw,2,256,256,15,10,0,0
Encoder_Only_PSMILES,pi1m_finetuned_bundle,HIGH,raw,3,256,256,14,10,0,0
