target_conductivity,repeat,n_generations,num_samples_per_generation,valid_mean_50,valid_var_50,unique_mean_50,unique_var_50,novel_mean_50,novel_var_50,novel_unique_count_repeat,fcd_vs_full_reference,fcd_vs_top10_conductivity,repeat_csv
0,1,50,1024,0.8015234375,0.00017109929298867986,0.9911328125,8.051346759406887e-06,0.895703125,8.275557537468112e-05,29020,0.5076897574977366,8.587975178045,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond0_repeat01_all.csv
0,2,50,1024,0.8048828125,0.00019661261110889665,0.9898828125,1.1746153539540817e-05,0.8930859375,6.458671725526149e-05,29045,0.5179199629679285,8.579561708154417,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond0_repeat02_all.csv
0,3,50,1024,0.804453125,0.00012559540417729593,0.99017578125,1.0681541598573022e-05,0.89451171875,0.0001166008929817044,28901,0.49921803027864975,8.58125838284343,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond0_repeat03_all.csv
0,4,50,1024,0.802734375,0.00012366625727439412,0.9905078125,7.475249621332909e-06,0.8955859375,8.62137152224171e-05,28926,0.5013032750109829,8.558042346322376,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond0_repeat04_all.csv
0,5,50,1024,0.80572265625,0.00014532478488221462,0.98958984375,1.0494699283521999e-05,0.89328125,8.073300731425385e-05,28811,0.5060041278189935,8.584409188243491,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond0_repeat05_all.csv
1,1,50,1024,0.9225390625,7.930833466198979e-05,0.75763671875,0.00018908792612503989,0.572890625,0.00016581321249202808,10897,0.4123076460835282,6.6433015035090435,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond1_repeat01_all.csv
1,2,50,1024,0.92146484375,7.458472738460618e-05,0.75837890625,0.00012826296747947224,0.5746484375,0.00018680961764588647,10967,0.4297049889595783,6.649854356327191,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond1_repeat02_all.csv
1,3,50,1024,0.92037109375,0.0001028882240762516,0.75546875,0.00013203523596938777,0.56962890625,0.00019891894593530767,10778,0.41515070275364074,6.60292574332993,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond1_repeat03_all.csv
1,4,50,1024,0.9226953125,4.804805833466199e-05,0.7578515625,0.0001806905318279656,0.5730859375,0.0002828076420998087,10839,0.4178742320598392,6.615911841232485,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond1_repeat04_all.csv
1,5,50,1024,0.92154296875,7.413786284777584e-05,0.75359375,0.0001459098348812181,0.5680859375,0.0003084860042649872,10751,0.42348279112077236,6.583972993482506,minGPT/cond_repeat5_of_50_results/generated_per_repeat/generated_cond1_repeat05_all.csv
