check,passed,observed,expected
training_rows,True,6270,6270
training_unique_ids,True,6270,6270
training_required_values_complete,True,0,0
fold_values,True,"[0,1,2,3]","[0,1,2,3]"
canonical_structure_groups,True,6026,6026
canonical_groups_crossing_folds,True,0,0
canonical_group_fold_sizes,True,"[1561, 1559, 1583, 1567]","[1561, 1559, 1583, 1567]"
oof_rows,True,6270,6270
oof_unique_ids,True,6270,6270
oof_predictions_complete,True,0,0
oof_ids_match_training,True,0,0
generated_pool_rows,True,32611,32611
generated_prediction_ok_rows,True,32610,32610
generated_ok_predictions_complete,True,0,0
generated_documented_exclusions,True,1,1
md_candidate_rows,True,60,60
md_replica_rows,True,180,180
md_replica_key_unique,True,0,0
md_three_replicas_per_candidate,True,60,60
reference_selection_rows,True,120,120
reference_status_rows,True,120,120
reference_completed_rows,True,108,108
reference_failed_rows,True,12,12
fig8_rows,True,108,108
fig8_ids_match_completed_reference,True,0,0
