dataset,sample_id,traj_id,replica,group,cutoff_source,cutoff_nm,method_id,method,parameter,n_frames,sigma_cNE0_corrected_S_cm,sigma_NE_S_cm,sigma_ref_S_cm,pred_ref,NE_ref,cNE_over_NE,abs_log_error,D_Li_cm2s,D_an_cm2s,V_nm3,N_LI,N_AN,neutral_pop,charged_pop,free_cation_count,free_anion_count,free_cation_fraction,free_anion_fraction,largest_cluster_size,pop_1_0,pop_0_1,pop_1_1,pop_2_1,pop_1_2,pop_2_2,alpha_Li_sum,alpha_AN_sum
ref,Traj_14027,14027,1,bottom,rdf_min,0.326,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.0668796557477587e-05,7.704356864597833e-05,8.24e-06,2.5083490967812603,9.34994765121096,0.2682741326852659,0.3993879788313769,9.059502906523337e-09,4.979541762846709e-09,95.97629135738418,100,100,50.307876849260296,52.25429828068772,23.84406237504998,11.494602159136344,0.2384406237504998,0.1149460215913634,12,23.84406237504998,11.494602159136344,46.466613354658136,2.364654138344662,12.35185925629748,3.4490203918432627,100.0,100.0
ref,Traj_26640,26640,1,bottom,rdf_min,0.326,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,3.848089434384167e-05,0.0001318693080262,7.67e-06,5.017065755390049,17.192869364563236,0.2918108460552187,0.7004497930779633,1.3994946943975921e-08,1.2125106135551889e-08,104.32613717075952,100,100,48.152339064374246,57.02798880447821,26.82526989204318,13.406637345061975,0.2682526989204318,0.1340663734506197,13,26.82526989204318,13.406637345061975,44.62614954018392,1.724110355857657,12.696521391443422,3.19312275089964,100.0,100.0
ref,Traj_27053,27053,1,bottom,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.102426569572056e-05,6.956938991186091e-05,8.21e-06,2.560811899600556,8.473738113503156,0.3022056930836492,0.4083776792237247,7.787052584718355e-09,5.5373589464996046e-09,100.87711242509774,100,100,46.983206717313074,59.74570171931227,28.52379048380648,14.641343462614952,0.2852379048380647,0.1464134346261495,13,28.52379048380648,14.641343462614952,43.51219512195122,1.32546981207517,12.870451819272292,3.111955217912835,100.0,100.0
ref,Traj_27601,27601,1,bottom,rdf_min,0.332,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.2241785697061613e-05,3.358171195341903e-05,7.75e-06,1.5795852512337565,4.33312412302181,0.3645372729669681,0.1985430700267134,3.3812416418362873e-09,2.143241279010665e-09,86.64661532124006,100,100,46.71691323470612,72.58936425429827,35.139144342263094,23.656137544982005,0.3513914434226309,0.23656137544982,9,35.139144342263094,23.656137544982005,44.315873650539785,1.1719312275089964,11.885245901639344,2.3242702918832467,100.0,100.0
ref,Traj_27607,27607,1,bottom,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.108010787280637e-05,6.822251645697561e-05,7.29e-06,2.8916471704809834,9.358369884358796,0.3089904765694255,0.4611453006345213,7.092918775520436e-09,4.575605432291534e-09,90.08469161777202,100,100,48.74570171931227,61.13994402239104,28.81407437025189,16.360255897640943,0.2881407437025189,0.1636025589764094,12,28.81407437025189,16.360255897640943,45.72131147540984,1.758096761295482,12.829268292682928,2.777688924430228,100.0,100.0
ref,Traj_27650,27650,1,bottom,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,3.512800631271604e-05,0.0001176694278599,6.87e-06,5.113246915970311,17.128009877714703,0.2985312918708186,0.7086967650821435,1.158012594295205e-08,7.0012326664684784e-09,83.17189998280851,100,100,49.74890043982407,58.64214314274291,27.43142742902839,16.1531387445022,0.2743142742902839,0.161531387445022,13,27.43142742902839,16.1531387445022,46.1703318672531,1.9640143942423032,11.214314274290285,3.3454618152738904,100.0,100.0
ref,Traj_27655,27655,1,bottom,rdf_min,0.33,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.54301787746038e-05,5.676178282552116e-05,5.71e-06,2.702308016568091,9.94076757014381,0.2718409818457306,0.4317348495978678,5.83590514212267e-09,3.833941554596529e-09,89.7276638559647,100,100,53.14434226309477,53.94642143142743,25.01999200319872,13.947620951619353,0.2501999200319872,0.1394762095161935,11,25.01999200319872,13.947620951619353,49.79128348660536,1.913234706117553,11.845261895241904,3.097161135545781,100.0,100.0
ref,Traj_27659,27659,1,bottom,rdf_min,0.33,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.7945534955474e-05,6.766442532514318e-05,6.01e-06,2.985945916052246,11.258639821155272,0.2652137348280365,0.4750819371556549,6.502691307821427e-09,5.350498595174292e-09,92.26513979606791,100,100,54.96001599360256,52.33466613354658,24.722910835665733,14.37624950019992,0.2472291083566573,0.1437624950019992,11,24.722910835665733,14.37624950019992,51.55657736905238,1.494202319072371,9.939624150339863,3.145541783286685,100.0,100.0
ref,Traj_13352,13352,1,middle_stratified,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,8.232303505885093e-05,0.0002836625774436,4.2e-05,1.9600722633059744,6.753870891514286,0.290214647983374,0.2922720830791813,2.740302800061308e-08,2.5491051998282482e-08,98.2127388689896,100,100,49.06957217113155,56.568172730907634,26.67692922830868,13.364654138344662,0.2667692922830867,0.1336465413834466,14,26.67692922830868,13.364654138344662,45.65613754498201,1.708516593362655,12.600959616153538,3.117153138744502,100.0,100.0
ref,Traj_13414,13414,1,middle_stratified,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0002592761199117,0.0009254865862394,3.15e-05,8.23098793370705,29.38052654728254,0.2801511375386957,0.9154519650309296,9.226527209034025e-08,8.785573886122839e-08,102.50783157279632,100,100,49.06677329068373,54.950419832067176,24.89724110355857,13.878048780487806,0.2489724110355858,0.138780487804878,12,24.89724110355857,13.878048780487806,44.75209916033587,2.469012395041984,11.463814474210317,3.8864454218312674,100.0,100.0
