trajectory_id,sample_group,run_status,analysis_status,analysis_attempts,analysis_last_stage,analysis_last_return_code,analysis_error_type,attempts_used,error_phase,error_type,has_completed_static_cNE0
9438,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9443,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9465,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9511,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9536,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9612,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
9826,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13352,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13414,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13421,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13430,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13465,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13578,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13773,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13835,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13857,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13950,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13978,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
13979,middle_stratified,failed,,,,,,0,pysoftk,,False
14006,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14009,middle_stratified,failed,,,,,,0,pysoftk,,False
14027,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14056,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14072,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14094,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14164,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14175,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14224,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14268,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14275,middle_stratified,failed,,,,,,0,pysoftk,,False
14307,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14318,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14373,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14419,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14424,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14520,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14594,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14672,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14748,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14750,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14754,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14760,top,failed,,,,,,0,pysoftk,,False
14764,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14768,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14769,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
14954,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24008,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24028,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24323,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24372,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24419,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24426,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24453,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24521,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24726,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
24864,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
25052,middle_stratified,failed,,,,,,0,pysoftk,,False
25060,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
25176,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
25249,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26491,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26556,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26584,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26636,middle_stratified,failed,,,,,,0,pysoftk,,False
26640,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26662,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26742,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26854,bottom,failed,,,,,,0,pysoftk,,False
26863,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
26927,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27053,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27141,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27154,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27217,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27225,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27274,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27337,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27340,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27434,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27443,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27601,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27607,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27622,bottom,failed,,,,,,0,pysoftk,,False
27624,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27628,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27650,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27655,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27659,bottom,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27670,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27710,top,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27723,middle_stratified,failed,,,,,,0,pysoftk,,False
27761,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27788,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27817,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27830,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
27929,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28034,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28311,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28382,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28466,middle_stratified,failed,,,,,,0,pysoftk,,False
28550,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28610,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28620,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28736,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28752,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28890,middle_stratified,failed,,,,,,0,pysoftk,,False
28930,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28974,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
28980,middle_stratified,failed,failed,10.0,conductivity-analysis,-6.0,unknown,10,pysoftk,,False
29037,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29099,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29121,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29136,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29224,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29300,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29412,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29471,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29600,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29605,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
29758,middle_stratified,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True
