model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10,precision_at_1e4,recall_at_1e4,f1_at_1e4,threshold_enrichment_at_1e4,top100_true_ge_1e4_hit_rate,top100_enrichment,top100_mean_true_log10_cond,top100_median_true_log10_cond,tail_mae_true_ge_1e4,tail_rmse_true_ge_1e4,baseline_model_id,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,delta_recall_at_1e4_vs_baseline,delta_top100_enrichment_vs_baseline,passes_screening_constraints,score_recall_at_1e4,score_top100_enrichment,score_spearman,score_tail_mae_inverse,score_global_mae_inverse,cej_screening_score,pareto_candidate,recommended_role
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,6270,701,0.13931922193478635,0.183801016412691,0.4220568234703057,0.6882505864064749,0.6490127534988778,0.11153682160230027,0.2888682959400279,1.1663977919522797,0.5887096774193549,0.6248216833095578,0.6062283737024222,5.265634347245871,0.96,8.586590584878744,-3.624783900306122,-3.688246138944246,0.12824733616201006,0.1689420379733701,baseline_unweighted__ridge_alpha_1,0.0022673745003730095,0.005615434488317583,0.00986371080205084,0.17403708987161198,0.1788873038516403,True,1.0,0.7999999999999976,0.7615086026291497,1.0,0.4277482918644889,0.8164639643055027,True,best weighted screening candidate
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,6270,701,0.13675844878178128,0.18022443015021056,0.4443303903659821,0.6916287886307272,0.6513094464034804,0.11008065915239995,0.28269927511160714,1.1096619485645451,0.604992657856094,0.5877318116975749,0.5962373371924747,5.411275270695734,0.96,8.586590584878744,-3.6236318825534353,-3.688246138944246,0.13483277742145552,0.17599963729889806,baseline_unweighted__ridge_alpha_1,-0.0002933986526320598,0.0020388482258371365,0.0121604037066535,0.13694721825962913,0.1788873038516403,True,0.81294964028777,0.7999999999999976,0.8630306009752247,0.8601904068644937,0.6442206760466392,0.8015051927036568,True,not recommended
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,6270,701,0.1418236853212089,0.18586206567784924,0.4090226416104712,0.6804059270451739,0.643816620709455,0.1136510555252439,0.2916901550691102,0.9362334244138024,0.5624195624195624,0.62339514978602,0.591339648173207,5.030485957732748,0.97,8.676034236804565,-3.6318925376803146,-3.709965388637482,0.1306297129510372,0.17259841059100614,baseline_unweighted__ridge_alpha_1,0.004771837886795555,0.007676483753475821,0.004667578012628071,0.17261055634807415,0.26833095577746136,True,0.9928057553956833,1.0,0.5318210447512152,0.9494218965066882,0.2160359971930221,0.7793843318541204,True,not recommended
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6270,701,0.13593719198301224,0.17955635833608083,0.4484423651408129,0.6932969726009499,0.6513190814665846,0.10886333477990107,0.28089767542381466,1.1033767531179919,0.631578947368421,0.5649072753209701,0.5963855421686747,5.6490727532097,0.96,8.586590584878744,-3.6236318825534353,-3.688246138944246,0.13809223159966227,0.1778376317608865,baseline_unweighted__ridge_alpha_1,-0.0011146554514011031,0.0013707764117074084,0.01217003876975764,0.11412268188302427,0.1788873038516403,True,0.6978417266187051,0.7999999999999976,0.8634565050473636,0.7909918604731947,0.7136447939333451,0.7728472308251293,True,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,6270,701,0.1381730772119019,0.18283196889333,0.42813489675916006,0.6909315047630042,0.6491538849117435,0.10996321408789034,0.28687196396237385,1.1577665855415447,0.6141141141141141,0.5834522111269614,0.598390636430139,5.492860906555628,0.96,8.586590584878744,-3.622805533570445,-3.688246138944246,0.13209793384240007,0.17108357016291054,baseline_unweighted__ridge_alpha_1,0.0011212297774885471,0.004646386968956584,0.010004842214916598,0.13266761768901564,0.1788873038516403,True,0.7913669064748199,0.7999999999999976,0.7677471132436174,0.9182514164481085,0.5246364838112976,0.7678243343063389,True,not recommended
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,6270,701,0.13956878770226513,0.1826985047289929,0.4289694952286166,0.6839080608072187,0.6458113722587273,0.11120439399888182,0.2869752771480782,0.8914908666400696,0.5835694050991501,0.5877318116975749,0.5856432125088841,5.219657874424638,0.97,8.676034236804565,-3.6352513127218464,-3.709965388637482,0.13618203043328977,0.1781253166472494,baseline_unweighted__ridge_alpha_1,0.0025169402678517916,0.004512922804619485,0.006662329561900382,0.13694721825962913,0.26833095577746136,True,0.81294964028777,1.0,0.6199961608410565,0.831545627085942,0.4066515005954213,0.7629662113923583,True,not recommended
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,6270,701,0.1384010323536652,0.1816126962795875,0.43573678953647055,0.6854851207870531,0.6453949374787368,0.11047121958245398,0.28471768393499997,0.8996122778820372,0.604261796042618,0.5663338088445078,0.5846833578792342,5.404738175730691,0.97,8.676034236804565,-3.6294879858352957,-3.688246138944246,0.138792284977812,0.17884787794029527,baseline_unweighted__ridge_alpha_1,0.0013491849192518446,0.0034271143552140892,0.006245894781909844,0.11554921540656199,0.26833095577746136,True,0.7050359712230212,1.0,0.6015882618308221,0.7761296554794334,0.5053665250622481,0.7388010722531719,True,not recommended
smooth_sigmoid_tail_a2_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.05,Ridge,100.0,6270,701,0.13415752176105822,0.1764205320055411,0.4675392764263342,0.6951826441573019,0.6536774350069747,0.10803849254346698,0.27700636067960577,1.029859597663024,0.6452145214521452,0.557774607703281,0.5983167559296098,5.771034307425037,0.95,8.497146932952925,-3.6276598076680995,-3.688246138944246,0.1461680416449109,0.18762612501271564,baseline_unweighted__ridge_alpha_1,-0.002894325673355125,-0.0017650499188323343,0.014528392310147797,0.10699001426533522,0.08944365192582104,True,0.6618705035971222,0.5999999999999992,0.9677041228926286,0.6195415852093438,0.8640874270702449,0.7315528023197444,True,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,10.0,6270,701,0.14027156183644188,0.18438105293318696,0.4184033387429481,0.6829954079974587,0.6433943073353314,0.11244712167923732,0.28859964611957156,0.9343707272328441,0.5872093023255814,0.5763195435092725,0.5817134629229662,5.252214444481306,0.97,8.676034236804565,-3.6245779966730822,-3.688246138944246,0.13355846965619983,0.17307754566792405,baseline_unweighted__ridge_alpha_1,0.003219714402028534,0.006195471008813541,0.004245264638504498,0.1255349500713267,0.26833095577746136,True,0.7553956834532375,1.0,0.51315329096342,0.8872440913741354,0.34724319565116657,0.7266526721097887,True,not recommended
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,10.0,6270,701,0.1372780553611099,0.18072282277985993,0.44125284349926575,0.6867268385745636,0.6441825317935762,0.11011772850364476,0.2809132894076323,0.9242964628160735,0.6368159203980099,0.5477888730385164,0.5889570552147239,5.6959141524900465,0.97,8.676034236804565,-3.617433403115568,-3.6739010120520637,0.14317558822110382,0.18150987126596207,baseline_unweighted__ridge_alpha_1,0.00022620792669655887,0.002537240855486511,0.005033489096749277,0.09700427960057062,0.26833095577746136,True,0.6115107913669064,1.0,0.5479956166334715,0.6830716782094672,0.6002962562158543,0.7049820113322192,True,not recommended
