model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,0,627,-4.562764164635406,-4.510554328990186,0.20941946208715662,0.16602263736824915,-5.213412944229937,-4.4800146747486815
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1,627,-4.4437170101711505,-4.41886112404815,0.19475863204381452,0.15328913345234813,-4.4799794534468225,-4.413349540567069
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2,627,-4.388815030511728,-4.367846682913058,0.17821076914456466,0.13933271059039132,-4.413330033513268,-4.365469827949161
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,3,627,-4.3448066728562615,-4.342380489107341,0.16913228646084028,0.13075128429880084,-4.3652440484566295,-4.324849179373745
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,4,627,-4.305513453588006,-4.312080471461619,0.17088927134179954,0.1309344465787913,-4.324817492697594,-4.2839162510593845
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,5,627,-4.262309056093492,-4.275988652905534,0.1780728020145351,0.13709795470698788,-4.283880949710367,-4.240030882823167
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,6,627,-4.217511854326177,-4.230821259892599,0.15662691180370208,0.11924258317577428,-4.239986647338537,-4.193038674309655
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,7,627,-4.164884493679876,-4.185566941580365,0.16341029347941996,0.1238277069436026,-4.192990908003542,-4.13417351593003
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,8,627,-4.090556414775163,-4.114977037693732,0.163678275515143,0.1264174974597972,-4.134149416761534,-4.039891649116268
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,9,627,-3.9031947205849122,-3.9248004280232403,0.2355905308172175,0.13361269732136086,-4.039316331506314,-3.0077389857489925
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,0,627,-4.531426619559747,-4.510871016322544,0.20667862010796076,0.15103063485242435,-4.841194770080536,-4.450567285228847
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,1,627,-4.414862535216838,-4.4268962583663125,0.19090101065742834,0.1480959310574889,-4.450100393409863,-4.382748755227927
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,2,628,-4.357227677377033,-4.373151455938975,0.17014136948276198,0.13267650078115756,-4.382702454203246,-4.331162306549562
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,3,626,-4.3081634346536966,-4.333499367085082,0.16400990543522634,0.12425304976600075,-4.331150463055002,-4.287528140686212
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,4,627,-4.266332408767118,-4.315638008740189,0.1666800093597719,0.13278113146749848,-4.287471773338988,-4.2444641939244585
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,5,627,-4.220853780962425,-4.2781876421525995,0.18206647107802082,0.1413279031732007,-4.24439839577514,-4.196278878396341
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,6,627,-4.1731093885742006,-4.22599899791086,0.15889702695439037,0.127886421893826,-4.196195266030348,-4.149316797387739
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,7,627,-4.121677531734216,-4.186341900686869,0.16412216846172312,0.13283760575920048,-4.149209441406181,-4.089065816744718
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,8,627,-4.044032256192654,-4.118657767962637,0.1625697961778326,0.13492074705148505,-4.0890654063931375,-3.989137450395376
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,9,627,-3.8627815142972293,-3.9145717604786974,0.22998549404919133,0.13216309764735526,-3.989114463246397,-3.0496348233174784
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,0,627,-4.514698093456703,-4.508155518064542,0.20364542101803823,0.14505981113504735,-4.821608831037624,-4.435304620115815
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,1,627,-4.401576890153044,-4.430223993314211,0.19451374699474,0.15093449849987478,-4.435032029430507,-4.370347086338696
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,2,627,-4.346563170515925,-4.370623304521325,0.1714872817463593,0.1330189552881595,-4.370338628806067,-4.321807507041267
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3,627,-4.300672682090753,-4.337132490477277,0.162784967790631,0.12535312275561422,-4.321803995368812,-4.2817302771975365
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,4,627,-4.261758681759647,-4.309342216154658,0.16498734579843158,0.1297770597542083,-4.2817127435776845,-4.241210164717529
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,5,627,-4.2196987506460095,-4.280392423754815,0.1855253567660705,0.14515380868301156,-4.241203712740942,-4.196656260816949
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6,627,-4.175218525090938,-4.229032825832676,0.1585564258888348,0.12722410764841496,-4.196607842586636,-4.153766220106112
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,7,627,-4.127119523303627,-4.185504919722179,0.16302473284527258,0.12971298663416392,-4.153763599190294,-4.097136671135705
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,8,627,-4.053731172635059,-4.117967009198482,0.16466247633260883,0.1336069754702953,-4.097065577529648,-4.000391459022696
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,9,627,-3.873365426443315,-3.9155027155756597,0.2304838787447762,0.12911086985426934,-3.9999919459647977,-3.05270700346229
