model_id,bin_left,bin_right,count
baseline_unweighted__ridge_alpha_1,-1.0,-0.975,0
baseline_unweighted__ridge_alpha_1,-0.975,-0.95,1
baseline_unweighted__ridge_alpha_1,-0.95,-0.925,0
baseline_unweighted__ridge_alpha_1,-0.925,-0.9,0
baseline_unweighted__ridge_alpha_1,-0.9,-0.875,0
baseline_unweighted__ridge_alpha_1,-0.875,-0.85,0
baseline_unweighted__ridge_alpha_1,-0.85,-0.825,0
baseline_unweighted__ridge_alpha_1,-0.825,-0.8,0
baseline_unweighted__ridge_alpha_1,-0.8,-0.775,2
baseline_unweighted__ridge_alpha_1,-0.775,-0.75,0
baseline_unweighted__ridge_alpha_1,-0.75,-0.725,0
baseline_unweighted__ridge_alpha_1,-0.725,-0.7,0
baseline_unweighted__ridge_alpha_1,-0.7,-0.675,0
baseline_unweighted__ridge_alpha_1,-0.675,-0.6499999999999999,0
baseline_unweighted__ridge_alpha_1,-0.6499999999999999,-0.625,1
baseline_unweighted__ridge_alpha_1,-0.625,-0.6,0
baseline_unweighted__ridge_alpha_1,-0.6,-0.575,1
baseline_unweighted__ridge_alpha_1,-0.575,-0.55,4
baseline_unweighted__ridge_alpha_1,-0.55,-0.5249999999999999,2
baseline_unweighted__ridge_alpha_1,-0.5249999999999999,-0.5,5
baseline_unweighted__ridge_alpha_1,-0.5,-0.475,5
baseline_unweighted__ridge_alpha_1,-0.475,-0.44999999999999996,11
baseline_unweighted__ridge_alpha_1,-0.44999999999999996,-0.42499999999999993,7
baseline_unweighted__ridge_alpha_1,-0.42499999999999993,-0.3999999999999999,15
baseline_unweighted__ridge_alpha_1,-0.3999999999999999,-0.375,22
baseline_unweighted__ridge_alpha_1,-0.375,-0.35,33
baseline_unweighted__ridge_alpha_1,-0.35,-0.32499999999999996,57
baseline_unweighted__ridge_alpha_1,-0.32499999999999996,-0.29999999999999993,52
baseline_unweighted__ridge_alpha_1,-0.29999999999999993,-0.2749999999999999,77
baseline_unweighted__ridge_alpha_1,-0.2749999999999999,-0.25,97
baseline_unweighted__ridge_alpha_1,-0.25,-0.22499999999999998,158
baseline_unweighted__ridge_alpha_1,-0.22499999999999998,-0.19999999999999996,159
baseline_unweighted__ridge_alpha_1,-0.19999999999999996,-0.17499999999999993,204
baseline_unweighted__ridge_alpha_1,-0.17499999999999993,-0.1499999999999999,275
baseline_unweighted__ridge_alpha_1,-0.1499999999999999,-0.125,278
baseline_unweighted__ridge_alpha_1,-0.125,-0.09999999999999998,305
baseline_unweighted__ridge_alpha_1,-0.09999999999999998,-0.07499999999999996,341
baseline_unweighted__ridge_alpha_1,-0.07499999999999996,-0.04999999999999993,364
baseline_unweighted__ridge_alpha_1,-0.04999999999999993,-0.02499999999999991,356
baseline_unweighted__ridge_alpha_1,-0.02499999999999991,0.0,381
baseline_unweighted__ridge_alpha_1,0.0,0.025000000000000133,428
baseline_unweighted__ridge_alpha_1,0.025000000000000133,0.050000000000000044,363
baseline_unweighted__ridge_alpha_1,0.050000000000000044,0.07499999999999996,317
baseline_unweighted__ridge_alpha_1,0.07499999999999996,0.10000000000000009,309
baseline_unweighted__ridge_alpha_1,0.10000000000000009,0.125,269
baseline_unweighted__ridge_alpha_1,0.125,0.15000000000000013,260
baseline_unweighted__ridge_alpha_1,0.15000000000000013,0.17500000000000004,213
baseline_unweighted__ridge_alpha_1,0.17500000000000004,0.20000000000000018,176
baseline_unweighted__ridge_alpha_1,0.20000000000000018,0.2250000000000001,147
baseline_unweighted__ridge_alpha_1,0.2250000000000001,0.25,115
baseline_unweighted__ridge_alpha_1,0.25,0.27500000000000013,81
baseline_unweighted__ridge_alpha_1,0.27500000000000013,0.30000000000000004,86
baseline_unweighted__ridge_alpha_1,0.30000000000000004,0.3250000000000002,55
