model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,3e-5,3e-05,-4.522878745280337,5291,599,188,192,0.8983022071307301,0.9649826737187671,0.9304493097687506,0.9393939393939394,0.874481658692185,1.0272396204103005
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,5e-5,5e-05,-4.301029995663981,2602,770,1951,947,0.7716488730723606,0.7331642716258101,0.7519144632278573,0.5377990430622009,0.5660287081339713,1.3632680851405188
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1e-4,0.0001,-4.0,319,159,5410,382,0.6673640167364017,0.4550641940085592,0.5411365564037319,0.07623604465709728,0.11180223285486443,5.9691474820787995
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2e-4,0.0002,-3.6989700043360187,28,18,6166,58,0.6086956521739131,0.32558139534883723,0.42424242424242425,0.00733652312599681,0.013716108452950558,44.378159757330636
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5366,635,152,117,0.8941843026162306,0.9786613167973737,0.9345175896900035,0.957097288676236,0.874481658692185,1.0225306542775425
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2903,1079,1642,646,0.7290306378704169,0.8179768948999718,0.7709467534192006,0.6350877192982456,0.5660287081339713,1.287974668765149
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,1e-4,0.0001,-4.0,410,259,5310,291,0.6128550074738416,0.5848787446504993,0.5985401459854014,0.10669856459330143,0.11180223285486443,5.481598996948626
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,38,19,6165,48,0.6666666666666666,0.4418604651162791,0.5314685314685315,0.00909090909090909,0.013716108452950558,48.604651162790695
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,17,2,6243,8,0.8947368421052632,0.68,0.7727272727272727,0.0030303030303030303,0.003987240829346092,224.4
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5401,660,127,82,0.8911070780399274,0.9850446835673902,0.9357241857241857,0.9666666666666667,0.874481658692185,1.0190117416214381
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2960,1131,1590,589,0.7235394769005133,0.8340377571146802,0.7748691099476439,0.6524720893141945,0.5660287081339713,1.2782734629941443
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,1e-4,0.0001,-4.0,393,234,5335,308,0.6267942583732058,0.5606276747503567,0.5918674698795181,0.1,0.11180223285486443,5.606276747503567
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,36,15,6169,50,0.7058823529411765,0.4186046511627907,0.5255474452554746,0.008133971291866028,0.013716108452950558,51.46374829001368
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,17,2,6243,8,0.8947368421052632,0.68,0.7727272727272727,0.0030303030303030303,0.003987240829346092,224.4
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3e-5,3e-05,-4.522878745280337,5319,609,178,164,0.8972672064777328,0.9700893671347802,0.9322583472088336,0.9454545454545454,0.874481658692185,1.026056061392556
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,5e-5,5e-05,-4.301029995663981,2905,1108,1613,644,0.7238973336655868,0.8185404339250493,0.7683152605130918,0.6400318979266347,0.5660287081339713,1.2789056866957536
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,1e-4,0.0001,-4.0,433,325,5244,268,0.5712401055408971,0.6176890156918687,0.5935572309801233,0.12089314194577352,0.11180223285486443,5.109380116606883
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,2e-4,0.0002,-3.6989700043360187,37,25,6159,49,0.5967741935483871,0.43023255813953487,0.5,0.009888357256778309,0.013716108452950558,43.509002250562645
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3e-4,0.0003,-3.5228787452803374,15,3,6242,10,0.8333333333333334,0.6,0.6976744186046512,0.0028708133971291866,0.003987240829346092,209.00000000000003
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5372,646,141,111,0.8926553672316384,0.9797556082436623,0.9341796365533432,0.9598086124401913,0.874481658692185,1.0207822638231576
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2980,1175,1546,569,0.717208182912154,0.8396731473654551,0.7736240913811009,0.6626794258373205,0.5660287081339713,1.267087998551481
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,1e-4,0.0001,-4.0,433,305,5264,268,0.5867208672086721,0.6176890156918687,0.6018068102849202,0.11770334928229666,0.11180223285486443,5.247845702422788
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,40,19,6165,46,0.6779661016949152,0.46511627906976744,0.5517241379310345,0.009409888357256778,0.013716108452950558,49.42845880961766
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,17,3,6242,8,0.85,0.68,0.7555555555555556,0.003189792663476874,0.003987240829346092,213.18
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5411,668,119,72,0.8901135055107748,0.9868685026445376,0.9359972323127487,0.9695374800637958,0.874481658692185,1.0178755570951228
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,5e-5,5e-05,-4.301029995663981,3036,1252,1469,513,0.7080223880597015,0.8554522400676247,0.7747862702564756,0.6838915470494418,0.5660287081339713,1.250859502151121
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,1e-4,0.0001,-4.0,407,252,5317,294,0.6176024279210925,0.5805991440798859,0.5985294117647059,0.105103668261563,0.11180223285486443,5.524061659151569
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,39,14,6170,47,0.7358490566037735,0.45348837209302323,0.5611510791366905,0.008452950558213716,0.013716108452950558,53.64853005704256
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,17,2,6243,8,0.8947368421052632,0.68,0.7727272727272727,0.0030303030303030303,0.003987240829346092,224.4
