Trajectory ID,SMILES,PSMILES,CONDUCTIVITY,log10_cond,fold
9425,COCC(CNCC(CF)OC(=O)*)O*,COCC(CNCC(CF)OC(=O)[*])O[*],7.57e-05,-4.120904120499928,2
9426,O=C(CCNC(=O)COC(=O)*)NCCN*,O=C(CCNC(=O)COC(=O)[*])NCCN[*],6.95e-05,-4.158015195409886,2
9427,NC(=O)C(COC(=O)*)NC(=O)CCO*,NC(=O)C(COC(=O)[*])NC(=O)CCO[*],0.000104,-3.9829666607012197,3
9428,CC(COC(=O)*)COC(=O)C(C)(C)CO*,CC(COC(=O)[*])COC(=O)C(C)(C)CO[*],2.65e-05,-4.576754126063192,2
9429,COC(=O)CC(=O)NC(CO*)COC(=O)*,COC(=O)CC(=O)NC(CO[*])COC(=O)[*],3.85e-05,-4.414539270491499,1
9430,COC(=O)CC(=O)NCC(CO*)OC(=O)*,COC(=O)CC(=O)NCC(CO[*])OC(=O)[*],4.11e-05,-4.386158178123931,3
9431,CC(O*)C(=O)NC(C)C(C)(C)OC(=O)*,CC(O[*])C(=O)NC(C)C(C)(C)OC(=O)[*],2.77e-05,-4.557520230935552,3
9432,CC(CCN(C)C(=O)CCN*)OC(=O)*,CC(CCN(C)C(=O)CCN[*])OC(=O)[*],3.18e-05,-4.497572880015567,3
9433,CC(CNC(COC(=O)*)C(N)=O)O*,CC(CNC(COC(=O)[*])C(N)=O)O[*],8.46e-05,-4.0726296369609765,0
9434,CC(C)NC(=O)NCC(COC(=O)*)O*,CC(C)NC(=O)NCC(COC(=O)[*])O[*],7.25e-05,-4.139661993429006,1
9435,CC(CO*)(COC(=O)*)NC(=O)CC#N,CC(CO[*])(COC(=O)[*])NC(=O)CC#N,5.64e-05,-4.248720896016658,2
9436,CSCC(CNCC(C)O*)OC(=O)*,CSCC(CNCC(C)O[*])OC(=O)[*],6.82e-05,-4.166215625343521,1
9437,C#CCC(N*)C(=O)NCCNC(=O)*,C#CCC(N[*])C(=O)NCCNC(=O)[*],7.16e-05,-4.145086977692144,1
9438,CCCN(CC(C)OC(=O)*)C(C)CO*,CCCN(CC(C)OC(=O)[*])C(C)CO[*],3.39e-05,-4.469800301796918,1
9439,COCCC(COC(=O)*)NC(=O)CCO*,COCCC(COC(=O)[*])NC(=O)CCO[*],6.46e-05,-4.189767482004916,3
9440,CC(CN(C)CC(C)(O*)C(F)F)OC(=O)*,CC(CN(C)CC(C)(O[*])C(F)F)OC(=O)[*],8.85e-05,-4.053056729302175,2
9441,CCN(CCCCO*)CCNC(=O)*,CCN(CCCCO[*])CCNC(=O)[*],0.000119,-3.9244530386074694,0
9442,CCOCCNC(=O)C(CO*)NC(=O)*,CCOCCNC(=O)C(CO[*])NC(=O)[*],6.73e-05,-4.171984935776023,0
9443,CCCN(CCO*)CCC(C)(C)OC(=O)*,CCCN(CCO[*])CCC(C)(C)OC(=O)[*],5.65e-05,-4.247951552180561,1
9444,CCCC(CC)NCC(COC(=O)*)O*,CCCC(CC)NCC(COC(=O)[*])O[*],1.53e-05,-4.815308569182402,0
9445,COCNC(=S)NC(CO*)COC(=O)*,COCNC(=S)NC(CO[*])COC(=O)[*],7.37e-05,-4.132532512140949,3
9446,CCC(C(=O)N(C)CCOC(=O)*)C(C)O*,CCC(C(=O)N(C)CCOC(=O)[*])C(C)O[*],3.14e-05,-4.503070351926785,2
9447,CCCC(CC)N(CCN*)CCNC(=O)*,CCCC(CC)N(CCN[*])CCNC(=O)[*],8.89e-05,-4.051098239029787,3
9448,COC(=O)NC(CO*)COC(=O)*,COC(=O)NC(CO[*])COC(=O)[*],3.72e-05,-4.429457060118103,3
9449,C=C(CO*)C(=O)NC(C)(C)CCOC(=O)*,C=C(CO[*])C(=O)NC(C)(C)CCOC(=O)[*],5.74e-05,-4.241088107602026,1
9450,CCCCCC(=O)NC(CO*)COC(=O)*,CCCCCC(=O)NC(CO[*])COC(=O)[*],4.34e-05,-4.36251027048749,3
9451,CC(C)C(O*)C(=O)N(C)CCOC(=O)*,CC(C)C(O[*])C(=O)N(C)CCOC(=O)[*],5.73e-05,-4.24184537803261,2
9452,CN(CCO*)C(=O)CCOC(=O)*,CN(CCO[*])C(=O)CCOC(=O)[*],0.000129,-3.889410289700751,3
9453,COC(=O)C(C)N(C)CC(CO*)OC(=O)*,COC(=O)C(C)N(C)CC(CO[*])OC(=O)[*],6.21e-05,-4.20690839982342,1
9454,CNC(=S)NC(COC(=O)*)C(C)O*,CNC(=S)NC(COC(=O)[*])C(C)O[*],2.23e-05,-4.651695136951839,1
9455,CC(CNC(=O)CCCCCN*)NC(=O)*,CC(CNC(=O)CCCCCN[*])NC(=O)[*],6.54e-05,-4.184422251675732,1
9456,CC(CN*)C(=O)NC(C)(C)COC(=O)*,CC(CN[*])C(=O)NC(C)(C)COC(=O)[*],6.64e-05,-4.1778319206319825,0
9457,CC(COC(=O)*)CS(=O)(=O)CCCO*,CC(COC(=O)[*])CS(=O)(=O)CCCO[*],6.93e-05,-4.159266765388193,0
9458,COCC(NC(=O)*)C(=O)NCCC(C)N*,COCC(NC(=O)[*])C(=O)NCCC(C)N[*],3.98e-05,-4.400116927926312,3
9459,CCCCC(NC(=O)*)C(=O)NCCCO*,CCCCC(NC(=O)[*])C(=O)NCCCO[*],4.28e-05,-4.368556230986828,0
9460,CC(C)C(O*)C(=O)NC(C#N)COC(=O)*,CC(C)C(O[*])C(=O)NC(C#N)COC(=O)[*],2.7e-05,-4.568636235841013,3
9461,CC(CNC(=O)*)N(C)C(=O)COCCN*,CC(CNC(=O)[*])N(C)C(=O)COCCN[*],0.000116,-3.9355420107730814,2
9462,CNC(=O)C(CNCC(C)OC(=O)*)O*,CNC(=O)C(CNCC(C)OC(=O)[*])O[*],4.89e-05,-4.31069114087638,0
9463,CC(CCOC(=O)*)S(=O)(=O)CCO*,CC(CCOC(=O)[*])S(=O)(=O)CCO[*],9.73e-05,-4.011887159731648,0
9464,C=C(Cl)CN(C)CC(CNC(=O)*)O*,C=C(Cl)CN(C)CC(CNC(=O)[*])O[*],6.15e-05,-4.211124884224583,0
9465,CCC(C)(CO*)NC(=O)COC(=O)*,CCC(C)(CO[*])NC(=O)COC(=O)[*],4.19e-05,-4.377785977033705,2
9466,CC(C#N)C(=O)N(C)CC(COC(=O)*)O*,CC(C#N)C(=O)N(C)CC(COC(=O)[*])O[*],5.25e-05,-4.279840696594043,2
9467,CCC(CNC(=O)COCCN*)NC(=O)*,CCC(CNC(=O)COCCN[*])NC(=O)[*],7.62e-05,-4.1180450286604,2
9468,C=CC(CCNC(=O)*)O*,C=CC(CCNC(=O)[*])O[*],4.14e-05,-4.382999658879101,2
9469,CC(CC(=O)NCCCO*)NC(=O)*,CC(CC(=O)NCCCO[*])NC(=O)[*],4.82e-05,-4.31695296176115,3
9470,CC#CC(=O)NCC(COC(=O)*)O*,CC#CC(=O)NCC(COC(=O)[*])O[*],4.9e-05,-4.309803919971486,1
9471,CC(CO*)(COC(=O)*)C(=O)OCC(F)F,CC(CO[*])(COC(=O)[*])C(=O)OCC(F)F,3.67e-05,-4.435333935747911,3
9472,CCCC(CC)NCC(CN*)OC(=O)*,CCCC(CC)NCC(CN[*])OC(=O)[*],3.7e-05,-4.431798275933005,0
