model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,0,627,-4.564283094669735,-4.507631346783309,0.21506307713047843,0.1703867672185522,-5.072749148341581,-4.4805438555419395
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1,627,-4.444175418366515,-4.417459550104265,0.18355863732626154,0.14873598422809486,-4.480532024290757,-4.412225588575184
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2,627,-4.390071214442886,-4.381384738731041,0.18343549476735208,0.14215509329273482,-4.412187296541029,-4.367413993904924
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3,627,-4.3456325014604475,-4.331149640939188,0.15896332383661613,0.12722448482261028,-4.367320845539524,-4.323038484397668
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,4,627,-4.302781632357561,-4.310027623240463,0.1738764210963674,0.13564433602418227,-4.32299174188432,-4.282671618687952
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,5,627,-4.262005538359928,-4.273447909685955,0.1826127144234786,0.13501886457368648,-4.282666496007872,-4.240030957672858
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,6,627,-4.216527064832781,-4.236673095360064,0.16149097651576472,0.12568987603602305,-4.239836518004765,-4.192237206024925
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,7,627,-4.162680044176515,-4.184535405594443,0.1683084375836308,0.1257108998159988,-4.192116358258187,-4.130255172189293
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,8,627,-4.088025623192393,-4.113361626041356,0.1608903930141514,0.12735564926495355,-4.129915208437935,-4.035034355834282
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,9,627,-3.9013250648688778,-3.9282064801357395,0.23794798206362927,0.135956964998109,-4.034943629707663,-2.993924176369482
