model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,fold,n_val,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,0,1561,173,0.13422216058474257,0.17362468307797038,0.45829623232161343,0.686717205534114,0.6430155042071088,0.11001556997434836,0.2759591711533895,0.8667487095955368
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1,1559,173,0.1414645720790394,0.1872501180039453,0.41263468049705687,0.6510523248215131,0.6161533701631207,0.11211769121811699,0.2880536758601654,0.9818433800443929
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2,1583,171,0.1365682335609537,0.17770770131125524,0.4712544917849445,0.6959454831484727,0.645695167390409,0.11140031483471802,0.28398621097679105,0.8450168091100325
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3,1567,184,0.13731366224722105,0.1754505492143703,0.4746254731928179,0.6939170116376024,0.6492278012903093,0.11480578343512349,0.277137408405444,0.7348566331918143
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,0,1561,173,0.1341836082991929,0.17357785679795631,0.4585883860785641,0.6868681485264858,0.6431782326055583,0.10985295205771628,0.276000296569495,0.8660082136289957
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,1,1559,173,0.14143721823042218,0.18721998627386233,0.4128236994357313,0.6511429732700057,0.6162615016251553,0.11222579768247876,0.2879943688962726,0.9812875162299179
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,2,1583,171,0.13653446291304247,0.1776717506721781,0.47146840278638624,0.6960482040430687,0.6458530548867158,0.11126818395896265,0.28388719698894177,0.8449166970069042
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3,1567,184,0.13728252819643375,0.17541077962792964,0.4748636207475029,0.694051199109526,0.6494269528839994,0.114803815241177,0.27712261545758815,0.7350196867122039
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,0,1561,173,0.13382919201169347,0.1731434870878966,0.46129470537683104,0.6882693869661167,0.6446106658877888,0.10915147007110892,0.27552516847504016,0.8590746961668279
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1,1559,173,0.1411827341806017,0.18693691540525698,0.41459794218223855,0.6519975236019049,0.6173705921614961,0.11213034850487524,0.2881656213771095,0.9762302093440205
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2,1583,171,0.13622319781827094,0.17733987309171298,0.4734410738799779,0.6969980051723973,0.6470694594240542,0.1100115880188417,0.2821560706209516,0.8439612350767494
