Trajectory ID,sample_group,CONDUCTIVITY,Transference Number,Li Diffusivity,TFSI Diffusivity,SMILES,Degree of Polymerization,Density,Molality,design_condition,PSMILES,pred_log10_cond,pred_cond,prediction_source,polybert_exact_available,candidate_rank_by_pred_cond,repeat_heavy_atoms,target_polymer_heavy_atoms,estimated_polymer_heavy_atoms,condition_pool_index,condition,condition_row_index,smiles,baseline_pred_log10_conductivity_existing,baseline_pred_log10_conductivity_refit,weighted_pred_log10_conductivity,baseline_pred_conductivity_s_cm,weighted_pred_conductivity_s_cm,baseline_rank,weighted_rank,rank_change_toward_top,baseline_hit_ge_1e4,weighted_hit_ge_1e4,selected_weighted_model,deployment_fit,embedding_model
912125,HIGH_bottom,0.0001661871750806,0.0,,,[*]CCNCNC[*],25,1.3,1.42,HIGH,[*]CCNCNC[*],-3.779402494430542,0.0001661871750806,cached_polybert_ridge_exact,True,2126,6,150,150,46526,HIGH,1527,[*]CCNCNC[*],-3.779402494430542,-3.779406597139757,-3.4623063384693467,0.00016618560514486261,0.000344900371003323,2177,2119,58,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912124,HIGH_bottom,0.0001774087219392,0.0,,,[*]COCCOCCOCCOCCOCC([*])CCCC,8,1.3,1.42,HIGH,[*]COCCOCCOCCOCCOCC([*])CCCC,-3.751025032773925,0.0001774087219392,distilled_from_cached_polybert_ridge_predictions,False,2125,20,150,160,45693,HIGH,694,[*]COCCOCCOCCOCCOCC([*])CCCC,-3.751025032773925,-3.641168637789386,-3.4444412338549304,0.00022847114711113445,0.00035938402317293755,2134,2116,18,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912123,HIGH_bottom,0.0002101326968504,0.0,,,[*]CCOCCOCCOCCOCCON([*])CCCC,8,1.3,1.42,HIGH,[*]CCOCCOCCOCCOCCON([*])CCCC,-3.677506365695384,0.0002101326968504,distilled_from_cached_polybert_ridge_predictions,False,2124,20,150,160,45418,HIGH,419,[*]CCOCCOCCOCCOCCON([*])CCCC,-3.677506365695384,-3.5307692451010944,-3.2634070610552355,0.0002945986517261563,0.0005452465658765021,2116,2002,114,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912122,HIGH_bottom,0.0002157692838916,0.0,,,[*]CCOCNC[*],25,1.3,1.42,HIGH,[*]CCOCNC[*],-3.66601037979126,0.0002157692838916,cached_polybert_ridge_exact,True,2123,6,150,150,45414,HIGH,415,[*]CCOCNC[*],-3.66601037979126,-3.6660266995465207,-3.2839215832550464,0.00021576117594673236,0.000520089896126248,2142,2030,112,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912121,HIGH_bottom,0.000218711157014,0.0,,,[*]OCCCOCCOCOCCOCCOC([*])CCC,8,1.3,1.42,HIGH,[*]OCCCOCCOCOCCOCCOC([*])CCC,-3.6601290619278553,0.000218711157014,distilled_from_cached_polybert_ridge_predictions,False,2122,20,150,160,46724,HIGH,1725,[*]OCCCOCCOCOCCOCCOC([*])CCC,-3.6601290619278553,-3.463760495489408,-3.396323901006244,0.00034374746532331497,0.0004014912631102112,2097,2102,-5,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912120,HIGH_bottom,0.0002329974550822,0.0,,,[*]OCCNOCCOC(CO)COCCOCCOC([*])=O,8,1.3,1.42,HIGH,[*]OCCNOCCOC(CO)COCCOCCOC([*])=O,-3.632648822535249,0.0002329974550822,distilled_from_cached_polybert_ridge_predictions,False,2121,21,150,168,46059,HIGH,1060,[*]OCCNOCCOC(CO)COCCOCCOC([*])=O,-3.632648822535249,-3.5329988000633623,-3.4355979958091076,0.0002930901343191214,0.0003667769242051015,2117,2114,3,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912119,HIGH_bottom,0.0002335479713422,0.0,,,[*]CCOCCOCCOCCOCCOC([*])CCC,8,1.3,1.42,HIGH,[*]CCOCCOCCOCCOCCOC([*])CCC,-3.6316239007534223,0.0002335479713422,distilled_from_cached_polybert_ridge_predictions,False,2120,19,150,152,45674,HIGH,675,[*]CCOCCOCCOCCOCCOC([*])CCC,-3.6316239007534223,-3.4516923711758807,-3.336843921723492,0.0003534334327293252,0.00046042201193169857,2090,2076,14,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912118,HIGH_bottom,0.0002449169114216,0.0,,,[*]OCCCNCOCCOCCOC([*])=O,10,1.3,1.42,HIGH,[*]OCCCNCOCCOCCOC([*])=O,-3.6109812259674072,0.0002449169114216,cached_polybert_ridge_exact,True,2119,15,150,150,45537,HIGH,538,[*]OCCCNCOCCOCCOC([*])=O,-3.6109812259674072,-3.6110088388527712,-3.5284081181176288,0.00024490133985010135,0.0002962046567015854,2130,2132,-2,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912117,HIGH_bottom,0.0002513692778635,0.0,,,[*]CCNOCNC[*],22,1.3,1.42,HIGH,[*]CCNOCNC[*],-3.5996878025038823,0.0002513692778635,distilled_from_cached_polybert_ridge_predictions,False,2118,7,150,154,46925,HIGH,1926,[*]CCNOCNC[*],-3.5996878025038823,-3.392828898790275,-3.2355860926144633,0.0004047353159252966,0.0005813181829438202,2060,1956,104,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912116,HIGH_bottom,0.0002538010284584,0.0,,,[*]OCCCOCCOCCOCCOCCOC([*])CCC,8,1.3,1.42,HIGH,[*]OCCCOCCOCCOCCOCCOC([*])CCC,-3.595506622379443,0.0002538010284584,distilled_from_cached_polybert_ridge_predictions,False,2117,21,150,168,46374,HIGH,1375,[*]OCCCOCCOCCOCCOCCOC([*])CCC,-3.595506622379443,-3.3291415650207643,-3.285311035634534,0.00046866059005752766,0.0005184286146165811,1961,2033,-72,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
912027,HIGH_middle_stratified,0.0003830652140302,0.0,,,[*]CCCOCCOCCOCCOCOCCOCCN([*])C,7,1.3,1.42,HIGH,[*]CCCOCCOCCOCCOCOCCOCCN([*])C,-3.416727284301559,0.0003830652140302,distilled_from_cached_polybert_ridge_predictions,False,2028,22,150,154,47058,HIGH,2059,[*]CCCOCCOCCOCCOCOCCOCCN([*])C,-3.416727284301559,-3.1992164975583623,-3.1087469111812,0.0006320966700727948,0.0007784900906246206,1546,1458,88,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
