model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10,precision_at_1e4,recall_at_1e4,f1_at_1e4,threshold_enrichment_at_1e4,top100_true_ge_1e4_hit_rate,top100_enrichment,top100_mean_true_log10_cond,top100_median_true_log10_cond,tail_mae_true_ge_1e4,tail_rmse_true_ge_1e4,baseline_model_id,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,delta_recall_at_1e4_vs_baseline,delta_top100_enrichment_vs_baseline,passes_screening_constraints,score_recall_at_1e4,score_top100_enrichment,score_spearman,score_tail_mae_inverse,score_global_mae_inverse,cej_screening_score,pareto_candidate,recommended_role
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,6270,701,0.13839901144222416,0.181957174831491,0.4335941979445742,0.6955877493873152,0.6523642658037002,0.11196389541919549,0.2867526034602824,1.0668450731664008,0.5867208672086721,0.6176890156918687,0.6018068102849202,5.247845702422788,0.96,8.586590584878744,-3.6135532145192526,-3.676896193896657,0.1262435712820409,0.16177085528938284,baseline_unweighted__ridge_alpha_1,0.00234614625261384,0.0054046053920931425,0.009955311128724609,0.16262482168330955,0.1788873038516403,True,1.0,0.7499999999999976,0.7435903555510421,1.0,0.4743724869122516,0.8073739441470456,True,best weighted screening candidate
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,6270,701,0.13579864579807624,0.17822485769840601,0.45659218928741285,0.6993037730060371,0.6550470453908638,0.10946140775681457,0.2807924995366326,1.013723642475476,0.6128550074738416,0.5848787446504993,0.5985401459854014,5.481598996948626,0.96,8.586590584878744,-3.6114764974539657,-3.6645432575002697,0.13294991251036625,0.16877109454810507,baseline_unweighted__ridge_alpha_1,-0.0002542193915340829,0.00167228825900817,0.012638090715888173,0.12981455064194009,0.1788873038516403,True,0.8296296296296296,0.7499999999999976,0.8454063353450191,0.8591491321287015,0.6703372833946835,0.7934116368049184,True,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,6270,701,0.13718492601031182,0.1809520320728402,0.43983463572868176,0.6987330485753741,0.6527768839892715,0.10973494090569291,0.2842410464693838,1.0790126024010132,0.6176024279210925,0.5805991440798859,0.5985294117647059,5.524061659151569,0.96,8.586590584878744,-3.6137939289198426,-3.676896193896657,0.13040978354032376,0.16446430300331086,baseline_unweighted__ridge_alpha_1,0.001132060820701497,0.004399462633442347,0.010367929314295865,0.1255349500713267,0.1788873038516403,True,0.8074074074074076,0.7499999999999976,0.759249906952791,0.9124985454309014,0.5658665447238589,0.7629565967656236,True,not recommended
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6270,701,0.1348952195723059,0.17753930781959298,0.46076463392685385,0.7013235800852717,0.6552310679706136,0.10825883502938982,0.27926136307480676,1.0234340286915646,0.6267942583732058,0.5606276747503567,0.5918674698795181,5.606276747503567,0.96,8.586590584878744,-3.611632175226232,-3.6645432575002697,0.1365569717194503,0.17104518076385855,baseline_unweighted__ridge_alpha_1,-0.0011576456173044147,0.0009867383801951402,0.012822113295637982,0.1055634807417975,0.1788873038516403,True,0.703703703703704,0.7499999999999976,0.852390300539585,0.7833913675346807,0.738419915107804,0.762175678430215,True,not recommended
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,6270,701,0.14146284703177137,0.18474113188350658,0.41612951286448097,0.6844042345217047,0.6443342466774867,0.11372864773372937,0.29327492942508293,0.9180480096513151,0.5712401055408971,0.6176890156918687,0.5935572309801233,5.109380116606883,0.97,8.676034236804565,-3.6234762344449023,-3.709965388637482,0.13059848385212144,0.16941980053863598,baseline_unweighted__ridge_alpha_1,0.0054099818421610435,0.008188562444108732,0.0019252920025111253,0.16262482168330955,0.26833095577746136,True,1.0,1.0,0.43883767701876963,0.908535340789296,0.24348037406171924,0.7605698926314062,True,not recommended
smooth_sigmoid_tail_a2_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.05,Ridge,100.0,6270,701,0.13311020848065913,0.17429287900001364,0.48030491363030503,0.7032407065071264,0.6578425271524526,0.10655101438274395,0.2756990587292246,0.9452872756187745,0.6351575456053068,0.5463623395149786,0.5874233128834356,5.681081042717937,0.96,8.586590584878744,-3.614148202553105,-3.6645432575002697,0.1446268627787569,0.18055253095623391,baseline_unweighted__ridge_alpha_1,-0.0029426567089511912,-0.0022596904393842043,0.015433572477477009,0.0912981455064194,0.1788873038516403,True,0.6296296296296297,0.7499999999999976,0.9514995514684079,0.6139023539829505,0.8729392032243277,0.7582335512821801,True,not recommended
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,6270,701,0.13262209558453966,0.173937692895242,0.4824208966912815,0.7040843917109882,0.657784731622441,0.10620310044043446,0.2742207926708238,0.9509295681542396,0.6475694444444444,0.5320970042796006,0.5841816758026624,5.792097598668569,0.96,8.586590584878744,-3.612069072836375,-3.6645432575002697,0.1470948155621363,0.1822777149481085,baseline_unweighted__ridge_alpha_1,-0.0034307696050706604,-0.0026148765441558475,0.015375776947465392,0.07703281027104142,0.1788873038516403,True,0.5555555555555558,0.7499999999999976,0.9493061142796053,0.562068831117133,0.9097236241244298,0.7370189800310438,True,not recommended
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,6270,701,0.1333187671151105,0.17538534102849124,0.473769632765919,0.7022181478574603,0.6547021620197035,0.10640088611641163,0.2743164962491933,1.0622573628392855,0.6461538461538462,0.5392296718972895,0.5878693623639192,5.7794359705914635,0.96,8.586590584878744,-3.6102332727778075,-3.661548075655676,0.14370012105483584,0.17862465568503924,baseline_unweighted__ridge_alpha_1,-0.0027340980744998133,-0.0011672284109066067,0.012293207344727941,0.08416547788873036,0.1788873038516403,True,0.5925925925925924,0.7499999999999976,0.8323174336263152,0.6333663764152563,0.8572221249561635,0.7256999100791235,True,not recommended
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,100.0,6270,701,0.1343730392641751,0.17737396648251402,0.46176853983820365,0.7026055903536138,0.6546595568660571,0.10710931042532179,0.2792501646405019,1.0854809186759882,0.6533795493934142,0.5378031383737518,0.5899843505477309,5.844065299139383,0.96,8.586590584878744,-3.6124447243218363,-3.676896193896657,0.1415780561344263,0.17515412352818152,baseline_unweighted__ridge_alpha_1,-0.0016798259254352244,0.0008213970431161788,0.012250602191081539,0.08273894436519263,0.1788873038516403,True,0.5851851851851855,0.7499999999999976,0.8307004966690128,0.6779353411521666,0.7777716724424993,0.7182924476692982,True,not recommended
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,6270,701,0.133118975938337,0.1753516568947941,0.47397174671420783,0.7039153797419005,0.6562901899374226,0.10654715331523645,0.2759412400809763,1.0323153997275076,0.6577540106951871,0.5263908701854494,0.5847860538827259,5.883192078543257,0.96,8.586590584878744,-3.611893841723057,-3.6645432575002697,0.14573972818981515,0.17975021412238812,baseline_unweighted__ridge_alpha_1,-0.0029338892512733306,-0.0012009125446037494,0.013881235262447,0.0713266761768902,0.1788873038516403,True,0.5259259259259261,0.7499999999999976,0.8925857535272066,0.5905292428281745,0.8722784834277187,0.7169197911253062,False,not recommended
