model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,6270,701,0.13738789202749452,0.1785765784816081,0.4544452787450024,0.6810807164063427,0.6378383795082437,0.11197296884262053,0.27981145105942107,0.9818433800443929
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,6270,701,0.1373551853670536,0.17853859028619223,0.45467736332388975,0.6811999252867366,0.6379702363084407,0.11195825150056504,0.2798235585939678,0.9812875162299179
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,6270,701,0.13705184743441334,0.17818558192437342,0.45683166666428066,0.6823089926200742,0.6391490426968269,0.11149312074737505,0.27913068383028933,0.9762302093440205
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,6270,701,0.13521471934665186,0.17613638054250816,0.4692531092409411,0.6887888487782767,0.6462193413461504,0.11041588939152636,0.276109956023969,0.9520124949424766
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,6270,701,0.1327599941451917,0.17350377552840698,0.48500005504483223,0.6969079180110739,0.653956665915846,0.10802794716343112,0.2710050138503572,0.9533290630991655
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,6270,701,0.13737824189910583,0.17857655800669417,0.45444540384747,0.6810632723801928,0.6378446056274218,0.1120560874501475,0.27980007562679843,0.9814476430925181
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,6270,701,0.13734543127481474,0.17853857576024165,0.4546774520590964,0.6811825285346387,0.6379606153878069,0.1120760997517607,0.27972400522851654,0.9808897789880464
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,6270,701,0.13704190098421326,0.17818561370712607,0.45683147289567005,0.6822920743079693,0.6391605125081458,0.11145520208582882,0.27922657911447657,0.9758144727600508
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,6270,701,0.1352044712279914,0.1761363626936779,0.46925321680771004,0.6887762047313978,0.6461981236484045,0.11060475355862032,0.2761015464072631,0.9515215445004261
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,6270,701,0.13275013633871172,0.17350304256067953,0.4850044062762773,0.6969070918732851,0.6539565445486208,0.10792397949128141,0.2710601124031167,0.9529580291870947
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,6270,701,0.1378086450098362,0.17984127707179742,0.44669056100545024,0.6813592540205815,0.6381807145342141,0.11263357544743258,0.28449034254231165,0.889584631759929
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,6270,701,0.13777543469682627,0.17980455602355422,0.4469164938791349,0.6814770668168637,0.6383253636492817,0.11258573142835981,0.28447941618088546,0.889171216410277
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,6270,701,0.13746575313130008,0.1794649215049579,0.44900396977207047,0.6825688863748404,0.6395252785876728,0.11249323426582292,0.2834405860189685,0.8854111885154623
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,6270,701,0.13565087378074547,0.1775488074069664,0.4607069267004057,0.6888052044254599,0.646281933291612,0.1098857429546456,0.2794264867054836,0.8675121638485108
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,6270,701,0.13327069049376256,0.17534068604263345,0.4740375664249662,0.6960680054482792,0.6527363824121362,0.10670986798949977,0.27325092354484126,1.0634710646370573
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,6270,701,0.1386944539141604,0.18145610153452155,0.4367094369461546,0.6789210902740156,0.6357830132087767,0.11252036421263445,0.28746169547945327,0.8793739649869421
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,6270,701,0.13866150904603217,0.1814199538775658,0.43693383949596043,0.6790441811352924,0.6359208858410559,0.11249886821710842,0.2873869863335178,0.8792274330309269
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,6270,701,0.13835296719200071,0.1810871151712292,0.4389979817706261,0.6801817152258761,0.6371423197531951,0.11220659088489482,0.28743787312834135,0.8786777542634443
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,6270,701,0.13658867597106045,0.17926248510695889,0.4502463155325134,0.6865800790583919,0.6440560746178193,0.10957039047372374,0.28245275001563985,0.9417303588848709
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,6270,701,0.13449795982709634,0.1774453999259576,0.46133493090091093,0.6937872625068362,0.6503929595719686,0.10656993164342032,0.2775661259484289,1.148976113117083
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,6270,701,0.141163814904263,0.18551917630508027,0.4112011704456322,0.6751535693377807,0.6317854388976589,0.11284974108748846,0.2909683041245663,0.9293293210500719
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,6270,701,0.14113517556809085,0.18548848016941408,0.41139600047728775,0.6752836275755125,0.6319156449478072,0.11281602412269187,0.29088483862472103,0.92917874769834
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,6270,701,0.1408699279635898,0.18520714151840062,0.41318017026331355,0.6764864918661151,0.6332372702549263,0.11238000211690835,0.29013233761246987,0.9277338293646986
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,6270,701,0.1393692172404177,0.18370645741077823,0.4226513323946042,0.683374193292609,0.6403062528999053,0.1115466441639339,0.28652658308126927,0.9239424737041295
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,6270,701,0.13775813948305243,0.18263138887814906,0.4293889639998414,0.6923620212602296,0.6482242840667554,0.11003802286848385,0.28557124732914235,1.1479447792654724
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,6270,701,0.13827876164395467,0.18001837791591555,0.4456002682819533,0.6813378479354188,0.6393940231710832,0.11357269240634471,0.28474521439371536,0.9364508629971917
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.1,6270,701,0.13824290444571125,0.17997816003893183,0.4458479573213512,0.6814563624997635,0.639527732464522,0.11349605095501403,0.28462950756981675,0.9358160285065984
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,1.0,6270,701,0.13791134345869638,0.17960482270957823,0.4481445811696916,0.68255713465556,0.6407254429057716,0.11326525754343875,0.2834071828621069,0.9300037708530402
