model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5284,602,185,199,0.8977234114848793,0.9637060003647638,0.9295452546398101,0.938755980861244,0.874481658692185,1.0265777475852988
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2610,812,1909,939,0.7627118644067796,0.73541842772612,0.7488165256060823,0.5457735247208931,0.5660287081339713,1.347479118013668
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1e-4,0.0001,-4.0,315,160,5409,386,0.6631578947368421,0.44935805991440797,0.5357142857142857,0.07575757575757576,0.11180223285486443,5.931526390870185
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,33,21,6163,53,0.6111111111111112,0.38372093023255816,0.4714285714285715,0.00861244019138756,0.013716108452950558,44.554263565891475
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,18,5,6240,7,0.782608695652174,0.72,0.7499999999999999,0.003668261562998405,0.003987240829346092,196.27826086956523
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5285,602,185,198,0.8977407847800237,0.9638883822724785,0.9296394019349165,0.9389154704944178,0.874481658692185,1.0265976145487414
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2608,811,1910,941,0.7627961392219947,0.7348548887010425,0.748564867967853,0.5452950558213716,0.5660287081339713,1.3476280058951555
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,1e-4,0.0001,-4.0,315,160,5409,386,0.6631578947368421,0.44935805991440797,0.5357142857142857,0.07575757575757576,0.11180223285486443,5.931526390870185
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,33,21,6163,53,0.6111111111111112,0.38372093023255816,0.4714285714285715,0.00861244019138756,0.013716108452950558,44.554263565891475
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,18,5,6240,7,0.782608695652174,0.72,0.7499999999999999,0.003668261562998405,0.003987240829346092,196.27826086956523
