model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3476604653676834,-3.312471038785365
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5512250283739437,-3.5927496807922594
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.630253060661078,-3.6893079857591733
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.754258404621827,-3.772113295386327
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3476604653676834,-3.312471038785365
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5512250283739437,-3.5927496807922594
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.630253060661078,-3.6893079857591733
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.754258404621827,-3.772113295386327
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.14283477416946,-3.1506262056909997
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3476604653676834,-3.312471038785365
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5547142610603872,-3.5927496807922594
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6329973829327797,-3.6893079857591733
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.7554677339375178,-3.772113295386327
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3485445431366445,-3.312471038785365
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5159952968207824,-3.5598962785205837
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.624209090709799,-3.688246138944246
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.7524604032470985,-3.772113295386327
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3469089908584944,-3.312471038785365
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.4984860394313086,-3.5598962785205837
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6265145558412204,-3.688246138944246
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.7523935842260046,-3.7734020068302323
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.14283477416946,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.347660465367684,-3.312471038785365
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5512250283739437,-3.5927496807922594
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.630253060661078,-3.6893079857591733
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.754258404621827,-3.772113295386327
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.14283477416946,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.347660465367684,-3.312471038785365
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5512250283739437,-3.5927496807922594
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.630253060661078,-3.6893079857591733
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.754258404621827,-3.772113295386327
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.14283477416946,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3476604653676834,-3.312471038785365
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5512250283739437,-3.5927496807922594
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6329973829327797,-3.6893079857591733
