model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,0,627,-4.563074874112933,-4.508715044395892,0.2145969766996164,0.16931549780285704,-5.070605039414403,-4.480309925219802
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1,627,-4.443573540052483,-4.416174002402561,0.18227110306504882,0.14839178042436973,-4.479899659746627,-4.411976691987648
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2,627,-4.389545839996379,-4.382214185160459,0.1847815014117198,0.14286470245981092,-4.411954034027599,-4.366432599717392
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,3,627,-4.3454207433261285,-4.332618358478298,0.1587103979326315,0.12585275296837592,-4.366399809676037,-4.3237675959263555
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,4,627,-4.302755361599737,-4.310208830313037,0.17346639839068306,0.13538365843909098,-4.323624356662035,-4.2827369546009
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,5,627,-4.26221205608803,-4.271756044521928,0.1828906138494537,0.1358742109352455,-4.282642601505523,-4.240831536536352
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,6,627,-4.2168215953003,-4.236521111967447,0.15925836087638176,0.12402485565080051,-4.24077259992702,-4.192375646326022
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,7,627,-4.163252725926538,-4.184139708949475,0.17002848828579775,0.12691323601116564,-4.192351157766148,-4.13123977564551
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,8,627,-4.088659193578649,-4.113673943471774,0.1600605353183926,0.1263486120085739,-4.131213981615685,-4.035750013447687
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,9,627,-3.902191135375325,-3.9278561869549526,0.23787376864475193,0.13554916764384317,-4.035279318120691,-2.9990552444741003
