model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,0,627,-4.5639916760220505,-4.508059997614269,0.2080916436416573,0.16536460255892338,-5.217095609549601,-4.480630725564662
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1,627,-4.444279623751949,-4.42065310390987,0.1973865823344731,0.1548997105255052,-4.480557707611842,-4.4138973824473675
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2,627,-4.389163028429338,-4.366115163711246,0.17900594638144843,0.14040034490059966,-4.413772474728622,-4.365557989156896
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3,627,-4.344995818814105,-4.343909529215568,0.17022084773007704,0.13205428259670612,-4.365552494457448,-4.324747307199464
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,4,627,-4.305618322019462,-4.311368480688398,0.16966818961370908,0.1297949334121277,-4.3246744233842795,-4.283910410132576
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,5,627,-4.2621377515071615,-4.27593188697061,0.18020225866407308,0.13846148944497888,-4.283888528257207,-4.239625216638592
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,6,627,-4.217205746331056,-4.233401089557735,0.15436134151026387,0.11770943414492314,-4.239614816799212,-4.19268821278106
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,7,627,-4.1644528593446655,-4.184483197261034,0.163574099781041,0.12425906424963448,-4.192569965384261,-4.134267448728801
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,8,627,-4.089771226868165,-4.114784771313246,0.1639379896343113,0.12689351973786733,-4.134251834669922,-4.03931016093872
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,9,627,-3.902460266972617,-3.925170196373847,0.23586000381955866,0.13420954562253562,-4.039284594779396,-3.003336401299198
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,0,628,-4.563741082913039,-4.506992799921912,0.209040908398064,0.1660706004536061,-5.216753556177182,-4.480618458321716
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,1,626,-4.444168432002007,-4.421584083553791,0.19680066416036596,0.15408050195882592,-4.480538984177206,-4.414054997064052
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,2,627,-4.3891280874221685,-4.36654725588028,0.17898588528099646,0.1403420199682174,-4.413923383310685,-4.365653295165321
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3,627,-4.344979866887599,-4.343777893114587,0.1698917231213335,0.13174888865608825,-4.365470629904779,-4.324827639556963
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,4,627,-4.305606051983545,-4.311029533903095,0.16956228476932103,0.12969654872195552,-4.324708970058366,-4.283931404279889
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,5,627,-4.262154636969648,-4.276913702549364,0.17974825094775038,0.13830367993739698,-4.28390231543857,-4.239695796905787
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,6,627,-4.2172343231832174,-4.232457764696233,0.15500733074430234,0.11817940841875824,-4.239661655406823,-4.192641740032371
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,7,627,-4.164495537352439,-4.184483197261034,0.163574099781041,0.12424021390957554,-4.192624641223969,-4.1343769320233115
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,8,627,-4.089846583831455,-4.114784771313246,0.1639379896343113,0.12685639619532463,-4.1342828940780025,-4.03929130634429
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,9,627,-3.9025302349190434,-3.925170196373847,0.23586000381955866,0.13416354291039975,-4.039102516745917,-3.003755746570283
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,0,627,-4.562764164635406,-4.510554328990186,0.20941946208715662,0.16602263736824915,-5.213412944229937,-4.4800146747486815
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1,627,-4.4437170101711505,-4.41886112404815,0.19475863204381452,0.15328913345234813,-4.4799794534468225,-4.413349540567069
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2,627,-4.388815030511728,-4.367846682913058,0.17821076914456466,0.13933271059039132,-4.413330033513268,-4.365469827949161
