model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,fold,n_val,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,0,1568,179,0.13863576113179865,0.17973502927877963,0.448573228352954,0.6753038193005421,0.640088186481938,0.11014515394850566,0.28353074816851764,0.9620832145848208
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1,1568,164,0.13241656410222744,0.17233070067928283,0.47643833036792316,0.6942327540650088,0.6446107835863802,0.11077040840484997,0.2730750003603908,0.8530666237029711
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2,1567,191,0.1345511293525009,0.17516550547756773,0.5037366946758848,0.712935045776596,0.6641701972204529,0.10999747809687044,0.28831102840559186,0.77219176373963
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3,1567,167,0.1400164375802117,0.18055606172810174,0.42456975194611535,0.6635253666134827,0.6140599986841723,0.1161221801109873,0.2851478593767541,0.8155763017281474
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,0,1568,179,0.13859821003250608,0.17968596690430902,0.4488742338314894,0.6754758588084097,0.6402814523941984,0.11016833591032515,0.2834920344374141,0.961322021351815
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,1,1568,164,0.13238188865770312,0.17229443277595746,0.47665867979876775,0.6943558898252667,0.6447479500043333,0.1107962702408758,0.27320631886683583,0.8530373056782894
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,2,1567,191,0.1345232364352724,0.17513198830687496,0.5039265922302959,0.7130386426057546,0.6643684756151254,0.11007358624908115,0.2882653474880192,0.772618450963936
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3,1567,167,0.13997815773246833,0.18050950389361856,0.4248664723317854,0.6636730070600108,0.6141881512650682,0.11574305285179065,0.28482661285307587,0.8158413838704046
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,0,1568,179,0.13824244493927404,0.1792285991112072,0.4516763043242594,0.6770814183235431,0.6421378880772535,0.1098832289788989,0.2831280883940448,0.954241054101034
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,1,1568,164,0.13206553965149137,0.17195737355163773,0.4787042998928053,0.6955023139643959,0.6459866842179326,0.11069726157973525,0.27400500487103907,0.8528013271583061
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,2,1567,191,0.13427432609814857,0.17482003886944344,0.505692254801317,0.7140048149619891,0.6654665665453073,0.11020481415254935,0.2877079702580608,0.7763000790234251
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,3,1567,167,0.1396302973227428,0.18008158837191818,0.4275900613502801,0.6650293552895141,0.615349815590715,0.11604583519980949,0.28364690571420476,0.8183495011718849
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,0,1568,179,0.13604363257727559,0.17648875574858458,0.4683124679305345,0.6867909124925077,0.6525573482253495,0.10878152914555095,0.2799466270464121,0.9127706217975953
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,1,1568,164,0.13020753452913822,0.1699921891313362,0.49055128660855607,0.702263140101744,0.6529198947549748,0.1066986085603614,0.27062715768812057,0.8532979497089377
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,2,1567,191,0.13281883104794018,0.17297344709719129,0.5160796661471798,0.7198046783014345,0.6726611123017333,0.1072735831308469,0.2807707668351376,0.7809878624202575
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,3,1567,167,0.13761120518266373,0.1777889916718209,0.44207184985580517,0.67223218417126,0.6214583866013479,0.11530095738769397,0.2784301513253768,0.8348132646840725
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,0,1568,179,0.13233878489414969,0.17248613052015643,0.49215550074380643,0.7016047270887547,0.6693946149857213,0.1060171530846219,0.26995164352756706,0.8525972625086684
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,1,1568,164,0.12825444647629314,0.1676438926048741,0.5045292636790173,0.7103826223785809,0.6609505409127477,0.103103218014589,0.264752611444582,0.8719101643778027
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,2,1567,191,0.13058340954415829,0.17029971853924908,0.5309243912708861,0.7286458870818506,0.6811063912606856,0.10592726993202017,0.27200514089700856,0.8478428743335629
