model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,tail_definition,n_tail,tail_mae_log10,tail_rmse_log10,tail_r2,tail_median_abs_error_log10,tail_p90_abs_error_log10
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,true_top_5pct,317,0.18379265259969707,0.23151684685881113,-0.5262473133672014,0.15533398382719676,0.35526501400227994
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,true_top_10pct,643,0.17253797297179568,0.21386248817878095,-0.604359510502589,0.14949537103999688,0.33478295661615837
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,true_ge_1e-4,701,0.1705539683498429,0.21143936663487461,-0.6006077480532037,0.14765995488762362,0.3297157355600473
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,true_top_5pct,317,0.18379794454154816,0.2315075739934175,-0.5261250552882764,0.15551490321265815,0.35516970409287857
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,true_top_10pct,643,0.17253804484441784,0.2138553344440317,-0.6042521801285541,0.14933728661048828,0.33486862331867895
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,true_ge_1e-4,701,0.1705545153665068,0.21143119270000726,-0.6004839961634858,0.14762196902272917,0.3295871901586218
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,true_top_5pct,317,0.18384874168391185,0.2314357274767454,-0.5251779609592206,0.15608633034533526,0.35432522020072227
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,true_top_10pct,643,0.1725416315388478,0.21379967588184107,-0.6034172348559113,0.14886151530320246,0.3348103750401927
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,true_ge_1e-4,701,0.17056207693945152,0.21136553714640927,-0.5994901565493262,0.14798202413520034,0.3276156575151883
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,true_top_5pct,317,0.18443422178317273,0.23162050960738748,-0.5276143880696123,0.16046912685713233,0.34724755497755855
