model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5288,599,188,195,0.8982503821980635,0.9644355279956228,0.9301671064204046,0.9389154704944178,0.874481658692185,1.0271803568086555
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2604,769,1952,945,0.7720130447672695,0.7337278106508875,0.7523837041317538,0.5379585326953747,0.5660287081339713,1.3639114653961057
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,1e-4,0.0001,-4.0,320,160,5409,381,0.6666666666666666,0.456490727532097,0.5419136325148181,0.07655502392344497,0.11180223285486443,5.962910128388017
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,28,19,6165,58,0.5957446808510638,0.32558139534883723,0.4210526315789474,0.007496012759170654,0.013716108452950558,43.43394359228105
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5289,599,188,194,0.8982676630434783,0.9646179099033376,0.9302611907483951,0.9390749601275917,0.874481658692185,1.0272001180526371
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2604,769,1952,945,0.7720130447672695,0.7337278106508875,0.7523837041317538,0.5379585326953747,0.5660287081339713,1.3639114653961057
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,1e-4,0.0001,-4.0,320,159,5410,381,0.6680584551148225,0.456490727532097,0.5423728813559322,0.07639553429027113,0.11180223285486443,5.97535879253914
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,28,19,6165,58,0.5957446808510638,0.32558139534883723,0.4210526315789474,0.007496012759170654,0.013716108452950558,43.43394359228105
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
