model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.198018203376008,-3.199011266231804
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.340070661997493,-3.312471038785365
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.547870567390322,-3.5711167130447063
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090956,-3.709965388637482
baseline_unweighted__ridge_alpha_0p01,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.01,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762742466005979,-3.772113295386327
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.198018203376008,-3.199011266231804
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.340070661997493,-3.312471038785365
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.547870567390322,-3.5711167130447063
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
baseline_unweighted__ridge_alpha_0p1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,0.1,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762742466005979,-3.772113295386327
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3353875424614823,-3.312471038785365
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.54619322426148,-3.5711167130447063
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.7622677577488117,-3.772113295386327
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.336556350637789,-3.312471038785365
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.541642571518045,-3.5598962785205837
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.642455279215227,-3.709965388637482
baseline_unweighted__ridge_alpha_10,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,10.0,200,200,169,0.845,0.11180223285486443,7.557988587731812,-3.7623400441453483,-3.7734020068302323
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3870179754574234,-3.3665315444204134
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5428137519859195,-3.5598962785205837
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,100,100,92,0.92,0.11180223285486443,8.228815977175465,-3.6442156107263592,-3.6925092315637382
baseline_unweighted__ridge_alpha_100,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,100.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.7550420780617344,-3.7759871235632767
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.198018203376008,-3.199011266231804
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.340070661997493,-3.312471038785365
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5478705673903215,-3.5711167130447063
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
inverse_frequency_bins__ridge_alpha_0p01,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.01,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762742466005979,-3.772113295386327
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.198018203376008,-3.199011266231804
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3400706619974927,-3.312471038785365
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.547870567390322,-3.5711167130447063
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
inverse_frequency_bins__ridge_alpha_0p1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,0.1,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762742466005979,-3.772113295386327
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3353875424614823,-3.312471038785365
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.54619322426148,-3.5711167130447063
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6442207616090965,-3.709965388637482
inverse_frequency_bins__ridge_alpha_1,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,1.0,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.7622677577488117,-3.772113295386327
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
inverse_frequency_bins__ridge_alpha_10,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.336556350637789,-3.312471038785365
