candidate_id,group,production_replicas,sigma_static_cNE0_mean_S_cm,sigma_static_cNE0_std_S_cm,sigma_static_cNE0_min_S_cm,sigma_static_cNE0_max_S_cm,sigma_NE_mean_S_cm,sigma_NE_std_S_cm,D_Li_mean_cm2s,D_TFSI_mean_cm2s,RDF_first_minimum_mean_nm,RDF_first_minimum_median_nm,RDF_first_minimum_min_nm,RDF_first_minimum_max_nm,log10_static_cNE0_mean_S_cm,repeat_unit_smiles,repeat_unit_psmiles,degree_of_polymerization,design_condition,baseline_surrogate_log10_sigma_S_cm,baseline_surrogate_sigma_S_cm,baseline_surrogate_rank,weighted_surrogate_log10_sigma_S_cm,weighted_surrogate_sigma_S_cm,weighted_surrogate_rank,topology_route,charge_neutrality_class,polymer_n_mol,Li_count,TFSI_count,aggregation,source_replica_file
910000,HIGH_top,3,0.0021023540466216,0.00018140176534600216,0.0018929079936553,0.0022094985691866,0.0022740163711279667,0.00019104977248712165,1.0371948962818337e-07,2.8756444769595017e-07,0.3273333333333333,0.328,0.324,0.33,-2.6772941448508956,[*]CNOCCOCCOCOCCOCCONCOC[*],[*]CNOCCOCCOCOCCOCCONCOC[*],8,HIGH,-2.7328645057371466,0.0018498456568853,1,-2.8371757797898387,0.0014548701057422,89,direct ACPYPE,neutral as built,17,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910001,HIGH_top,3,0.0017303316925813665,6.735674305029229e-05,0.001654019042156,0.0017814962987387,0.0018359423889846335,7.9254091345128e-05,6.74881866810178e-08,2.4594699389372987e-07,0.32666666666666666,0.328,0.322,0.33,-2.7618706376515605,[*]COCCOCNOCCOCCOCCSCCOC[*],[*]COCCOCNOCCOCCOCCSCCOC[*],8,HIGH,-2.7387933268624165,0.0018247638688964,2,-2.8655243138402904,0.0013629367004883,183,direct ACPYPE,neutralized after polymer charge repair,16,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910002,HIGH_top,3,0.0014703699077742334,0.00023000300684349642,0.0012720357822114,0.0017225044969623,0.0015176227556381666,0.00023650353524281567,6.884543988436822e-08,1.9433900100948476e-07,0.32666666666666666,0.326,0.326,0.328,-2.8325733940301414,[*]COCCOCNOCCOCCOCCOCOCCOC[*],[*]COCCOCNOCCOCCOCCOCOCCOC[*],7,HIGH,-2.7571204232882263,0.0017493615498799,3,-2.904130016695527,0.0012470101353137,349,direct ACPYPE,neutral as built,18,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910003,HIGH_top,3,0.0008038700538238001,8.286493360943984e-05,0.000727158967676,0.000891754923247,0.0009024523856512334,9.51822072706723e-05,3.9405931759536763e-08,1.1466226131330636e-07,0.33466666666666667,0.334,0.334,0.336,-3.0948141495953223,[*]CNOCCOCCOCCSCCOCCOCOC[*],[*]CNOCCOCCOCCSCCOCCOCOC[*],8,HIGH,-2.759657811132426,0.0017391706145845,4,-2.866437622631807,0.001360073495522,189,direct ACPYPE,neutral as built,16,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910004,HIGH_top,3,0.0008456037148016335,1.2508456120723547e-05,0.0008325010433216,0.0008574182695746,0.0009684931673764,1.6729911379791468e-05,4.91274392300542e-08,1.1847091105794223e-07,0.33266666666666667,0.334,0.328,0.336,-3.0728331178076465,[*]CNOCCOCCOCCOCCNOCOC[*],[*]CNOCCOCCOCCOCCNOCOC[*],8,HIGH,-2.7601888376566586,0.00173704537153,5,-2.9063217040562463,0.0012407328930189,356,direct ACPYPE,neutral as built,19,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910005,HIGH_top,3,0.0006942034405990667,7.889018494918307e-05,0.00062478758617,0.0007799969885569,0.0007227073859176,8.086943646293532e-05,3.966313614213679e-08,8.235226024143646e-08,0.33,0.33,0.328,0.332,-3.158513238216485,[*]CNOCCOCCOCCOCCOCCONCOC[*],[*]CNOCCOCCOCCOCCOCCONCOC[*],7,HIGH,-2.76640677710228,0.0017123527000213,6,-2.83915205301576,0.0014482647055617,95,direct ACPYPE,neutral as built,18,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910006,HIGH_top,3,0.0005758383870410667,0.00012336819632179162,0.0004921927653191,0.0007175224483386,0.0005905661916159,0.000128891669406537,3.442865189240036e-08,6.798599430525396e-08,0.3273333333333333,0.328,0.324,0.33,-3.239699387175162,[*]COCCOCCOCNOCCOCOCCOCCOC[*],[*]COCCOCCOCNOCCOCOCCOCCOC[*],7,HIGH,-2.7694897638642475,0.0017002400271025,7,-2.9198267617459086,0.0012027441085402,421,direct ACPYPE,neutral as built,18,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910007,HIGH_top,3,0.0007306154759996667,0.00013235982222916767,0.0006175084010874,0.000876187071984,0.0007694120622751332,0.00014079867925139057,4.765043001262371e-08,8.554829647059322e-08,0.332,0.332,0.33,0.334,-3.136311132739935,[*]CNCCOCOCCONCOCCOCCOCCOC[*],[*]CNCCOCOCCONCOCCOCCOCCOC[*],7,HIGH,-2.7704405188801102,0.001696521942571,8,-2.959031389156737,0.0010989264103323,613,direct ACPYPE,neutral as built,18,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910008,HIGH_top,3,0.0007858762414299334,0.00012144857838002087,0.0006632950262365,0.0009061595727458,0.0008712085856467334,0.00013439840918991078,5.189586014194046e-08,9.886733223728432e-08,0.332,0.332,0.332,0.332,-3.104645840596591,[*]CNOCCOCCOCCONCCOCOC[*],[*]CNOCCOCCOCCONCCOCOC[*],8,HIGH,-2.7755141928043945,0.0016768175362216,9,-2.770169646021949,0.0016975804066003,14,direct ACPYPE,neutral as built,19,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
910009,HIGH_top,3,0.0005626758246021333,3.7846307660527835e-05,0.0005334646332939,0.0006054305362335,0.0005794114329969001,4.004976022865853e-05,3.292007379944868e-08,6.756080886673338e-08,0.33,0.33,0.33,0.33,-3.249741743931556,[*]COCCOCCOCOCCOCNOCCOCCOC[*],[*]COCCOCCOCOCCOCNOCCOCCOC[*],7,HIGH,-2.7761397675941466,0.0016744039212857,10,-2.9344893295863685,0.0011628151204796,488,direct ACPYPE,neutral as built,18,100,100,arithmetic mean across three production replicas,reproducibility/data/generated_md/generated_md_replica_180.csv
