candidate_id,reference_stratum,reference_conductivity_S_cm,reference_transference_number,reference_D_Li_cm2s,reference_D_TFSI_cm2s,SMILES,degree_of_polymerization,density_g_cm3,molality_mol_kg,run_status,analysis_status,analysis_attempts,analysis_last_stage,analysis_last_return_code,analysis_error_type,attempts_used,error_phase,error_type,has_completed_static_cNE0,sigma_static_cNE0_S_cm,sigma_NE_S_cm,cutoff_nm,abs_log10_error,protocol,association_filter,temperature_K,md_status,failure_stage,log10_reference_sigma_S_cm,log10_static_cNE0_S_cm,MALogE_component,source_selection_file,source_status_file,source_completed_file
27622,bottom,2.48e-06,0.0669,2.31e-09,3.62e-09,*OC(C1=O)=C(C1=O)OC1=C(OCC)C=C(C(OCC)=C1)*,19.0,1.43,1.35,failed,,,,,,0,pysoftk,,False,,,,,,,,failed,pysoftk,-5.605548319173784,,,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27655,bottom,5.71e-06,0.372,2.5e-09,2.45e-09,CCN(CCOC(=O)*)C(=O)C(C)(C)O*,19.0,1.31,1.44,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,1.542858896657882e-05,5.676178282552116e-05,0.33,0.4316901008989608,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.243363891754152,-4.811673790855191,0.4316901008989608,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27659,bottom,6.01e-06,0.279,2.67e-09,3.17e-09,C=CC(OC(=O)*)C(=O)N(C)C(C)CCO*,17.0,1.3,1.37,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,1.7918038783000185e-05,6.766442532514318e-05,0.33,0.4744160002690699,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.221125527997261,-4.746709527728191,0.4744160002690699,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27650,bottom,6.87e-06,0.0907,3.82e-09,5.36e-09,C=C(C)C(=O)OCC(COC(=O)*)O*,31.0,1.38,1.44,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,3.516760817047486e-05,0.0001176694278599,0.328,0.7091860949000481,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.16304326294045,-4.453857168040401,0.7091860949000481,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
26854,bottom,6.92e-06,-1.64,1.07e-08,3e-08,CCCC(OC(=O)*)C(C)C(C)O*,26.0,1.18,1.39,failed,,,,,,0,pysoftk,,False,,,,,,,,failed,pysoftk,-5.1598939055432425,,,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27607,bottom,7.29e-06,-0.375,3.06e-09,5.56e-09,CC(OC(=O)*)C(=O)OCC(C)(C)CO*,17.0,1.29,1.44,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,2.1059220186002084e-05,6.822251645697561e-05,0.328,0.4607147570886388,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.137272471682025,-4.676557714593387,0.4607147570886388,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
26640,bottom,7.67e-06,0.206,1.27e-08,3.25e-08,CCCC(OC(=O)*)C(C)(C)CO*,26.0,1.17,1.39,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,3.8466636883081145e-05,0.0001318693080262,0.326,0.700288853889756,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.115204636051019,-4.4149157821612635,0.700288853889756,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27601,bottom,7.75e-06,1.1,9.45e-09,4.52e-09,*C1N(C(=O)C)C(=O)N(C(=O)C)C1*,76.0,1.53,1.3,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,1.2232411525344643e-05,3.358171195341903e-05,0.332,0.1982103807694369,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.110698297493689,-4.912487916724253,0.1982103807694369,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
27053,bottom,8.21e-06,-0.643,6.77e-09,1.12e-08,CCC(C)C(C)(CO*)COC(=O)*,26.0,1.21,1.39,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,2.1008721989476687e-05,6.956938991186091e-05,0.328,0.4080564769238401,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.085656842880559,-4.677600365956719,0.4080564769238401,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
14027,bottom,8.24e-06,-0.147,1.05e-08,1.68e-08,C=CCC(C)(CCC(C)(CC=C)OC(=O)*)O*,22.0,1.18,1.44,ok,ok,1.0,conductivity-analysis,0.0,,1,,,True,2.0671050808642384e-05,7.704356864597833e-05,0.326,0.3994353427625495,manuscript_static_cNE0,Li_TFSI_O_contacts_ge_2,353.0,completed,,-5.084072788302884,-4.684637445540335,0.3994353427625495,MY_PAPER_RELATED/machine_readable/reference_selection_manifest_120.csv,MY_PAPER_RELATED/machine_readable/reference_run_status_120.csv,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/data/reference/reference_static_cNE0_reassessment_108.csv
