stage,source_mdp,parameter,value
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,integrator,steep
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,emtol,100
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,emstep,0.01
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,nsteps,200000
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,cutoff-scheme,Verlet
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,coulombtype,PME
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,rcoulomb,1.2
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,vdwtype,Cut-off
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,rvdw,1.2
generated:em,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/em.mdp,pbc,xyz
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,integrator,md
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,dt,0.001000
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,cutoff-scheme,Verlet
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,nstlist,20
generated:npt01_p50,MY_PAPER_RELATED/gromacs_eval_pred_conductivity/reproducibility/static_cne0_release/examples/generated_Traj_912118_rep3/mdp/npt01_p50.mdp,coulombtype,PME
