row_id,canonical_structure,canonical_group_id,conductivity_S_cm,log10_conductivity_S_cm,stratification_bin,fold,source_file
9425,[*]CNCC(CF)OC(=O)OC([*])COC,sha256:b5513ed051aee1c0ba721cfe6fa1c4bcf6e14a415a3cf362019e9ce49ac7d5b5,7.57e-05,-4.120904120499927,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9426,[*]CCNC(=O)COC(=O)NCCNC([*])=O,sha256:143c6c45047214c5e6e542d1fd4caee4e22fe4820c74ada58049027fa31ab0f2,6.95e-05,-4.158015195409886,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9427,[*]COC(=O)OCCC(=O)NC([*])C(N)=O,sha256:50ddf793dc7ae3acbf2575dff8c0a29dd994488e953d8f96be35f70486c13c97,0.000104,-3.98296666070122,5,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9428,[*]COC(=O)OCC(C)(C)C(=O)OCC([*])C,sha256:73d99edc7a67e654a6f9c989234ab9163d836aa38a17cacbb95476e6e507f22f,2.65e-05,-4.576754126063192,0,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9429,[*]COC(=O)OCC([*])NC(=O)CC(=O)OC,sha256:42d5632e744dd53e353e678e708477839d33ee6febc0aa1e461e1aea64460c62,3.85e-05,-4.414539270491499,1,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9430,[*]COC(=O)OC([*])CNC(=O)CC(=O)OC,sha256:b22414cff409139adbdf0854c0d2637a825f1cbf737957c751b4f37be4666548,4.11e-05,-4.386158178123931,1,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9431,[*]OC(=O)OC(C)(C)C(C)NC(=O)C([*])C,sha256:88bb6525cb1a71ac986c7eff83d6766bbcf5e9e77151e8a12dfa029129ebea86,2.77e-05,-4.557520230935552,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9432,[*]CCN(C)C(=O)CCNC(=O)OC([*])C,sha256:2df77ef8adb15d8caf18980168badffb4ca0a1ecc07c2954be95899c3bdedd97,3.18e-05,-4.497572880015567,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9433,[*]CNC(COC(=O)OC([*])C)C(N)=O,sha256:14e962376c1590da7262bfae8cb603bbc7e851c5c583fdf4b04a540e491ef086,8.46e-05,-4.0726296369609765,4,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
9434,[*]COC(=O)OC([*])CNC(=O)NC(C)C,sha256:b5b868befdfcc8887d68d738e3e93e4bc425c0b92fa23fb104bb5ae615579578,7.25e-05,-4.139661993429006,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
